timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-10-08T07:28:30,18.0,1.7,5.675,21.0,0.4,3.597,18.0,1.7,5.675,-1.0,0.0,1.874
2022-10-09T08:28:30,18.6,1.3,4.641,18.6,1.3,4.641,18.0,2.0,10.617,-1.0,0.0,1.957
2022-10-11T10:13:30,17.4,2.2,9.012,16.4,1.2,3.564,17.4,2.2,9.012,-1.0,0.0,1.248
2022-10-12T10:50:00,17.4,1.9,6.023,-1.0,0.0,2.08,17.4,1.9,6.023,-1.0,0.0,1.496
2022-10-13T10:01:30,17.8,1.2,4.087,17.8,1.2,4.087,16.4,0.8,4.469,-1.0,0.0,2.094
2022-10-14T09:47:00,17.2,2.2,6.805,16.8,1.6,3.846,17.2,2.2,6.805,-1.0,0.0,2.375
2022-10-16T11:08:00,0.0,0.0,1.633,-1.0,0.0,1.633,-1.0,0.0,1.948,-1.0,0.0,1.717
2022-10-17T10:02:30,17.6,1.5,5.13,20.2,1.0,2.661,17.6,1.5,5.13,-1.0,0.0,1.998
2022-10-18T10:59:30,18.2,2.9,7.294,-1.0,0.0,1.629,18.2,2.9,7.294,-1.0,0.0,1.491
2022-10-19T09:32:30,17.4,0.5,2.665,17.4,0.5,2.665,12.8,0.7,3.885,-1.0,0.0,2.175
2022-10-20T10:18:00,18.2,1.5,4.517,18.2,1.5,4.517,18.6,2.6,7.691,-1.0,0.0,1.979
2022-10-21T10:19:30,0.0,0.0,1.447,-1.0,0.0,1.447,-1.0,0.0,2.426,10.2,0.8,2.918
2022-10-22T09:52:00,18.0,2.2,5.631,-1.0,0.0,2.069,18.0,2.2,5.631,12.0,0.6,2.842
2022-10-23T11:29:30,17.4,2.4,5.488,19.2,0.4,2.663,17.4,2.4,5.488,-1.0,0.0,2.133
2022-10-24T06:41:30,13.0,0.6,2.642,13.0,0.6,2.642,-1.0,0.0,2.322,14.8,1.1,3.065
2022-10-24T09:40:00,17.4,2.2,4.698,-1.0,0.0,1.758,17.4,2.2,4.698,-1.0,0.0,1.945
2022-10-25T09:58:00,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
2022-10-26T08:53:00,0.0,0.0,1.931,-1.0,0.0,1.931,-1.0,0.0,2.171,-1.0,0.0,1.745
2022-10-27T09:56:30,17.4,2.3,5.29,16.8,0.5,2.823,17.4,2.3,5.29,-1.0,0.0,1.722
2022-10-27T12:13:30,17.4,2.4,7.584,16.8,0.5,2.823,17.4,2.4,7.584,-1.0,0.0,1.404
2022-10-29T10:11:30,0.0,0.0,1.986,-1.0,0.0,1.986,-1.0,0.0,2.315,-1.0,0.0,2.29
2022-10-30T10:00:30,17.6,1.2,4.917,17.6,1.2,4.917,18.6,2.3,6.591,-1.0,0.0,1.85
2022-10-31T09:26:30,18.0,1.9,7.395,18.6,0.6,2.653,18.0,1.9,7.395,-1.0,0.0,2.091
