timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-07-27T09:08:30,16.2,2.3,6.965,-1.0,0.0,0.0,16.2,2.3,6.965,13.2,0.6,3.143
2022-07-28T09:04:30,16.8,0.9,4.449,16.8,0.9,4.449,16.4,2.2,7.584,-1.0,0.0,1.075
2022-07-29T08:29:30,17.2,2.1,8.036,-1.0,0.0,1.785,17.2,2.1,8.036,9.4,0.6,2.567
2022-07-31T08:45:00,17.8,2.3,7.073,-1.0,0.0,0.0,17.8,2.3,7.073,-1.0,0.0,1.921
2022-07-31T17:38:30,16.4,2.9,5.77,-1.0,0.0,0.0,16.4,2.9,5.77,-1.0,0.0,1.408
2022-08-01T08:53:30,17.0,2.1,5.982,17.0,2.1,5.982,17.4,2.5,8.549,9.0,0.6,2.946
2022-08-02T09:15:30,18.0,1.4,7.558,18.0,1.4,7.558,17.2,2.1,4.408,-1.0,0.0,2.161
2022-08-03T09:44:30,17.0,2.1,6.555,-1.0,0.0,2.227,17.0,2.1,6.555,-1.0,0.0,1.71
2022-08-04T08:21:30,18.4,1.6,6.13,18.4,1.6,6.13,17.0,2.3,8.485,-1.0,0.0,1.952
2022-08-05T09:01:30,17.0,2.2,11.246,29.6,0.4,2.846,17.0,2.2,11.246,10.8,0.4,3.143
2022-08-06T03:32:30,0.0,0.0,1.944,-1.0,0.0,1.944,-1.0,0.0,2.183,-1.0,0.0,0.0
2022-08-07T09:19:00,17.8,1.6,7.285,17.8,1.6,7.285,17.2,2.1,11.988,11.2,0.6,2.776
2022-08-08T09:21:30,18.6,2.2,11.86,-1.0,0.0,1.795,18.6,2.2,11.86,9.8,0.6,2.649
2022-08-09T09:04:30,18.0,1.2,5.696,18.0,1.2,5.696,17.8,1.3,8.292,21.4,0.5,3.571
2022-08-10T09:46:30,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,1.383,22.6,0.5,3.447
2022-08-11T10:02:30,18.0,2.2,8.22,-1.0,0.0,1.777,18.0,2.2,8.22,-1.0,0.0,2.284
2022-08-12T08:52:30,18.2,2.5,7.09,-1.0,0.0,1.968,18.2,2.5,7.09,8.8,1.0,2.645
2022-08-13T07:46:30,18.4,2.2,8.738,18.2,0.6,3.155,18.4,2.2,8.738,-1.0,0.0,1.281
2022-08-14T18:20:00,18.0,0.7,3.531,18.0,0.7,3.531,16.8,0.9,3.426,-1.0,0.0,0.0
2022-08-15T09:37:30,17.0,2.2,13.536,-1.0,0.0,2.205,17.0,2.2,13.536,17.2,1.9,3.921
2022-08-16T10:24:30,18.8,2.2,5.725,18.8,2.2,5.725,14.6,1.4,3.623,10.2,1.4,2.799
2022-08-17T07:59:30,18.8,2.2,6.722,18.8,2.2,6.722,16.6,2.7,7.503,-1.0,0.0,1.929
2022-08-18T08:37:30,17.0,2.2,8.758,16.8,1.0,3.366,17.0,2.2,8.758,-1.0,0.0,2.329
2022-08-19T09:16:00,16.4,2.0,10.683,17.4,1.2,3.796,16.4,2.0,10.683,10.6,0.6,3.529
2022-08-19T17:07:30,17.2,1.2,6.065,17.2,1.2,6.065,17.4,1.9,6.236,-1.0,0.0,1.697
2022-08-20T18:45:30,18.4,1.5,6.213,18.4,1.5,6.213,18.6,1.7,5.419,-1.0,0.0,1.712
2022-08-21T08:37:30,17.2,2.3,5.249,-1.0,0.0,0.0,17.2,2.3,5.249,-1.0,0.0,1.993
2022-08-22T09:17:00,17.0,2.4,7.095,-1.0,0.0,1.689,17.0,2.4,7.095,-1.0,0.0,1.835
2022-08-23T09:43:30,17.2,2.2,13.605,-1.0,0.0,2.414,17.2,2.2,13.605,-1.0,0.0,2.107
