timestamp,mean_dba,max_dba,min_dba,events_number,snoring_events_number,snore_label,sample_duration
2023-10-04T00:58:00,55,73,29,2,1,0,30
2023-10-04T00:58:30,30,36,29,2,1,0,30
2023-10-04T00:59:00,30,31,29,0,0,0,30
2023-10-04T00:59:30,30,31,29,0,0,0,30
2023-10-04T01:00:00,30,31,29,0,0,0,30
2023-10-04T01:00:30,30,37,29,0,0,0,30
2023-10-04T01:01:00,30,31,29,1,0,0,30
2023-10-04T01:01:30,30,30,29,0,0,0,30
2023-10-04T01:02:00,37,51,29,7,0,0,30
2023-10-04T01:02:30,30,35,29,4,0,0,30
2023-10-04T01:03:00,30,40,29,0,0,0,30
2023-10-04T01:03:30,30,38,29,0,0,0,30
2023-10-04T01:04:00,30,42,29,1,1,0,30
2023-10-04T01:04:30,30,33,29,0,0,0,30
2023-10-04T01:05:00,30,31,29,0,0,0,30
2023-10-04T01:05:30,30,35,29,0,0,0,30
2023-10-04T01:06:00,30,36,29,0,0,0,30
2023-10-04T01:06:30,31,40,29,2,2,1,30
2023-10-04T01:07:00,30,31,29,0,0,0,30
2023-10-04T01:07:30,30,30,29,0,0,0,30
2023-10-04T01:08:00,58,75,29,1,0,0,30
2023-10-04T01:08:30,37,55,29,2,2,1,30
2023-10-04T01:09:00,30,36,29,1,0,0,30
2023-10-04T01:09:30,32,47,29,3,0,0,30
2023-10-04T01:10:00,30,32,29,0,0,0,30
2023-10-04T01:10:30,30,33,29,0,0,0,30
2023-10-04T01:11:00,30,34,29,0,0,0,30
2023-10-04T01:11:30,30,33,29,0,0,0,30
2023-10-04T01:12:00,30,33,29,0,0,0,30
2023-10-04T01:12:30,30,32,29,0,0,0,30
2023-10-04T01:13:00,30,33,29,0,0,0,30
2023-10-04T01:13:30,30,33,29,0,0,0,30
2023-10-04T01:14:00,30,31,29,0,0,0,30
2023-10-04T01:14:30,30,32,29,0,0,0,30
2023-10-04T01:15:00,30,33,29,0,0,0,30
2023-10-04T01:15:30,30,32,29,0,0,0,30
2023-10-04T01:16:00,30,32,29,0,0,0,30
2023-10-04T01:16:30,30,31,29,0,0,0,30
2023-10-04T01:17:00,30,34,29,0,0,0,30
2023-10-04T01:17:30,30,32,29,0,0,0,30
2023-10-04T01:18:00,33,48,29,1,1,0,30
2023-10-04T01:18:30,46,66,29,2,1,0,30
2023-10-04T01:19:00,30,39,29,2,0,0,30
2023-10-04T01:19:30,30,35,29,1,0,0,30
2023-10-04T01:20:00,30,35,29,2,0,0,30
2023-10-04T01:20:30,30,35,29,0,0,0,30
2023-10-04T01:21:00,31,43,29,2,0,0,30
2023-10-04T01:21:30,30,33,29,0,0,0,30
2023-10-04T01:22:00,30,31,29,0,0,0,30
2023-10-04T01:22:30,30,33,29,0,0,0,30
2023-10-04T01:23:00,30,31,29,0,0,0,30
2023-10-04T01:23:30,30,32,29,0,0,0,30
2023-10-04T01:24:00,51,68,29,0,0,0,30
2023-10-04T01:24:30,52,68,29,3,1,0,30
2023-10-04T01:25:00,58,73,29,1,0,0,30
2023-10-04T01:25:30,30,31,29,0,0,0,30
2023-10-04T01:26:00,30,31,29,0,0,0,30
2023-10-04T01:26:30,32,46,29,1,0,0,30
2023-10-04T01:27:00,30,31,29,0,0,0,30
2023-10-04T01:27:30,30,30,29,0,0,0,30
2023-10-04T01:28:00,33,51,29,4,1,0,30
2023-10-04T01:28:30,30,39,29,2,0,0,30
2023-10-04T01:29:00,30,36,29,1,0,0,30
2023-10-04T01:29:30,30,33,29,0,0,0,30
2023-10-04T01:30:00,30,32,29,0,0,0,30
2023-10-04T01:30:30,30,36,29,1,0,0,30
2023-10-04T01:31:00,30,33,29,0,0,0,30
2023-10-04T01:31:30,30,31,29,0,0,0,30
2023-10-04T01:32:00,30,41,29,2,1,0,30
2023-10-04T01:32:30,30,38,29,2,1,0,30
2023-10-04T01:33:00,30,31,29,0,0,0,30
2023-10-04T01:33:30,30,34,29,2,0,0,30
2023-10-04T01:34:00,30,32,29,0,0,0,30
2023-10-04T01:34:30,30,39,29,1,0,0,30
2023-10-04T01:35:00,30,34,29,2,0,0,30
2023-10-04T01:35:30,30,32,29,0,0,0,30
2023-10-04T01:36:00,30,32,29,0,0,0,30
2023-10-04T01:36:30,30,33,29,0,0,0,30
2023-10-04T01:37:00,30,33,29,0,0,0,30
2023-10-04T01:37:30,30,36,29,0,0,0,30
2023-10-04T01:38:00,30,35,29,3,0,0,30
2023-10-04T01:38:30,30,39,29,1,0,0,30
2023-10-04T01:39:00,60,74,29,2,0,0,30
2023-10-04T01:39:30,30,30,29,0,0,0,30
2023-10-04T01:40:00,30,30,29,0,0,0,30
2023-10-04T01:40:30,30,30,29,0,0,0,30
2023-10-04T01:41:00,30,30,29,0,0,0,30
2023-10-04T01:41:30,30,30,29,0,0,0,30
2023-10-04T01:42:00,30,30,29,0,0,0,30
2023-10-04T01:42:30,30,30,29,0,0,0,30
2023-10-04T01:43:00,30,30,29,0,0,0,30
2023-10-04T01:43:30,30,31,29,2,0,0,30
2023-10-04T01:44:00,30,36,29,1,1,0,30
2023-10-04T01:44:30,30,30,29,3,0,0,30
2023-10-04T01:45:00,30,30,29,0,0,0,30
2023-10-04T01:45:30,30,30,29,1,0,0,30
2023-10-04T01:46:00,30,31,29,0,0,0,30
2023-10-04T01:46:30,30,30,29,0,0,0,30
2023-10-04T01:47:00,30,31,29,0,0,0,30
2023-10-04T01:47:30,30,30,29,0,0,0,30
2023-10-04T01:48:00,30,30,29,0,0,0,30
2023-10-04T01:48:30,31,35,29,0,0,0,30
2023-10-04T01:49:00,30,30,29,0,0,0,30
2023-10-04T01:49:30,30,30,29,0,0,0,30
2023-10-04T01:50:00,30,32,29,0,0,0,30
2023-10-04T01:50:30,30,30,29,0,0,0,30
2023-10-04T01:51:00,34,48,29,1,0,0,30
2023-10-04T01:51:30,30,36,29,0,0,0,30
2023-10-04T01:52:00,30,30,29,0,0,0,30
2023-10-04T01:52:30,30,31,29,0,0,0,30
2023-10-04T01:53:00,30,30,29,0,0,0,30
2023-10-04T01:53:30,30,30,29,0,0,0,30
2023-10-04T01:54:00,30,44,29,0,0,0,30
2023-10-04T01:54:30,30,30,29,0,0,0,30
2023-10-04T01:55:00,30,30,29,0,0,0,30
2023-10-04T01:55:30,30,30,29,0,0,0,30
2023-10-04T01:56:00,30,31,29,0,0,0,30
2023-10-04T01:56:30,30,30,29,0,0,0,30
2023-10-04T01:57:00,30,31,29,0,0,0,30
2023-10-04T01:57:30,48,68,29,0,0,0,30
2023-10-04T01:58:00,30,32,29,0,0,0,30
2023-10-04T01:58:30,30,37,29,0,0,0,30
2023-10-04T01:59:00,30,41,29,1,0,0,30
2023-10-04T01:59:30,31,42,29,2,0,0,30
2023-10-04T02:00:00,30,31,29,0,0,0,30
2023-10-04T02:00:30,30,34,29,0,0,0,30
2023-10-04T02:01:00,30,34,29,0,0,0,30
2023-10-04T02:01:30,30,30,29,0,0,0,30
2023-10-04T02:02:00,30,30,29,0,0,0,30
2023-10-04T02:02:30,30,32,29,0,0,0,30
2023-10-04T02:03:00,30,31,29,0,0,0,30
2023-10-04T02:03:30,30,30,29,0,0,0,30
2023-10-04T02:04:00,30,30,29,0,0,0,30
2023-10-04T02:04:30,30,30,29,0,0,0,30
2023-10-04T02:05:00,30,30,29,0,0,0,30
2023-10-04T02:05:30,30,33,29,0,0,0,30
2023-10-04T02:06:00,30,30,29,0,0,0,30
2023-10-04T02:06:30,30,30,29,0,0,0,30
2023-10-04T02:07:00,30,32,29,0,0,0,30
2023-10-04T02:07:30,30,31,29,0,0,0,30
2023-10-04T02:08:00,41,55,29,1,0,0,30
2023-10-04T02:08:30,63,82,29,1,0,0,30
2023-10-04T02:09:00,30,32,30,0,0,0,30
2023-10-04T02:09:30,30,34,30,0,0,0,30
2023-10-04T02:10:00,31,36,30,0,0,0,30
2023-10-04T02:10:30,30,35,30,0,0,0,30
2023-10-04T02:11:00,30,32,30,0,0,0,30
2023-10-04T02:11:30,30,34,29,0,0,0,30
2023-10-04T02:12:00,30,34,29,0,0,0,30
2023-10-04T02:12:30,30,32,30,0,0,0,30
2023-10-04T02:13:00,31,37,29,0,0,0,30
2023-10-04T02:13:30,30,32,30,0,0,0,30
2023-10-04T02:14:00,30,32,30,0,0,0,30
2023-10-04T02:14:30,31,38,30,1,0,0,30
2023-10-04T02:15:00,30,31,30,0,0,0,30
2023-10-04T02:15:30,30,31,30,0,0,0,30
2023-10-04T02:16:00,30,34,29,0,0,0,30
2023-10-04T02:16:30,30,33,29,0,0,0,30
2023-10-04T02:17:00,31,34,29,0,0,0,30
2023-10-04T02:17:30,30,33,29,0,0,0,30
2023-10-04T02:18:00,30,32,30,0,0,0,30
2023-10-04T02:18:30,30,33,30,0,0,0,30
2023-10-04T02:19:00,30,31,29,0,0,0,30
2023-10-04T02:19:30,30,32,29,0,0,0,30
2023-10-04T02:20:00,30,31,29,0,0,0,30
2023-10-04T02:20:30,30,31,29,0,0,0,30
2023-10-04T02:21:00,30,31,30,0,0,0,30
2023-10-04T02:21:30,30,31,30,0,0,0,30
2023-10-04T02:22:00,30,31,29,0,0,0,30
2023-10-04T02:22:30,30,35,29,0,0,0,30
2023-10-04T02:23:00,30,31,30,0,0,0,30
2023-10-04T02:23:30,30,31,29,0,0,0,30
2023-10-04T02:24:00,30,32,29,0,0,0,30
2023-10-04T02:24:30,30,36,29,0,0,0,30
2023-10-04T02:25:00,30,31,29,0,0,0,30
2023-10-04T02:25:30,30,32,29,0,0,0,30
2023-10-04T02:26:00,30,33,29,0,0,0,30
2023-10-04T02:26:30,30,31,29,0,0,0,30
2023-10-04T02:27:00,30,31,30,0,0,0,30
2023-10-04T02:27:30,30,31,29,0,0,0,30
2023-10-04T02:28:00,30,32,29,0,0,0,30
2023-10-04T02:28:30,30,31,29,0,0,0,30
2023-10-04T02:29:00,30,31,29,0,0,0,30
2023-10-04T02:29:30,30,33,29,0,0,0,30
2023-10-04T02:30:00,30,31,29,0,0,0,30
2023-10-04T02:30:30,30,31,29,0,0,0,30
2023-10-04T02:31:00,30,31,29,0,0,0,30
2023-10-04T02:31:30,30,31,29,0,0,0,30
2023-10-04T02:32:00,30,31,29,0,0,0,30
2023-10-04T02:32:30,30,31,29,0,0,0,30
2023-10-04T02:33:00,30,31,30,0,0,0,30
2023-10-04T02:33:30,30,31,29,0,0,0,30
2023-10-04T02:34:00,30,31,30,0,0,0,30
2023-10-04T02:34:30,30,31,29,0,0,0,30
2023-10-04T02:35:00,30,31,29,0,0,0,30
2023-10-04T02:35:30,30,31,29,0,0,0,30
2023-10-04T02:36:00,30,31,29,0,0,0,30
2023-10-04T02:36:30,30,31,29,0,0,0,30
2023-10-04T02:37:00,30,31,29,0,0,0,30
2023-10-04T02:37:30,30,34,29,0,0,0,30
2023-10-04T02:38:00,30,31,29,0,0,0,30
2023-10-04T02:38:30,30,31,29,0,0,0,30
2023-10-04T02:39:00,30,31,30,0,0,0,30
2023-10-04T02:39:30,30,31,29,0,0,0,30
2023-10-04T02:40:00,35,44,30,0,0,0,30
2023-10-04T02:40:30,30,31,29,0,0,0,30
2023-10-04T02:41:00,30,31,29,0,0,0,30
2023-10-04T02:41:30,30,31,29,0,0,0,30
2023-10-04T02:42:00,62,81,29,1,0,0,30
2023-10-04T02:42:30,33,51,29,4,0,0,30
2023-10-04T02:43:00,36,57,29,6,2,1,30
2023-10-04T02:43:30,34,55,29,1,0,0,30
2023-10-04T02:44:00,30,32,29,1,0,0,30
2023-10-04T02:44:30,30,31,29,0,0,0,30
2023-10-04T02:45:00,35,54,29,2,1,0,30
2023-10-04T02:45:30,30,31,29,0,0,0,30
2023-10-04T02:46:00,30,32,29,0,0,0,30
2023-10-04T02:46:30,30,33,29,1,0,0,30
2023-10-04T02:47:00,30,30,29,0,0,0,30
2023-10-04T02:47:30,30,31,29,0,0,0,30
2023-10-04T02:48:00,30,40,29,1,0,0,30
2023-10-04T02:48:30,31,42,29,1,1,0,30
2023-10-04T02:49:00,30,31,29,0,0,0,30
2023-10-04T02:49:30,30,34,29,0,0,0,30
2023-10-04T02:50:00,48,69,29,2,1,0,30
2023-10-04T02:50:30,32,47,30,3,1,0,30
2023-10-04T02:51:00,31,33,30,0,0,0,30
2023-10-04T02:51:30,31,32,30,0,0,0,30
2023-10-04T02:52:00,31,40,30,1,0,0,30
2023-10-04T02:52:30,34,45,30,0,0,0,30
2023-10-04T02:53:00,48,64,30,3,1,0,30
2023-10-04T02:53:30,30,31,29,0,0,0,30
2023-10-04T02:54:00,31,46,29,0,0,0,30
2023-10-04T02:54:30,30,33,29,0,0,0,30
2023-10-04T02:55:00,30,34,29,0,0,0,30
2023-10-04T02:55:30,30,31,29,0,0,0,30
2023-10-04T02:56:00,30,31,29,0,0,0,30
2023-10-04T02:56:30,30,31,29,0,0,0,30
2023-10-04T02:57:00,30,33,29,0,0,0,30
2023-10-04T02:57:30,30,40,29,0,0,0,30
2023-10-04T02:58:00,30,33,29,1,0,0,30
2023-10-04T02:58:30,30,31,29,0,0,0,30
2023-10-04T02:59:00,30,32,29,0,0,0,30
2023-10-04T02:59:30,30,30,29,0,0,0,30
2023-10-04T03:00:00,30,34,29,0,0,0,30
2023-10-04T03:00:30,30,31,29,0,0,0,30
2023-10-04T03:01:00,30,31,29,0,0,0,30
2023-10-04T03:01:30,30,32,29,0,0,0,30
2023-10-04T03:02:00,30,31,29,0,0,0,30
2023-10-04T03:02:30,30,31,29,0,0,0,30
2023-10-04T03:03:00,30,31,29,0,0,0,30
2023-10-04T03:03:30,30,31,29,0,0,0,30
2023-10-04T03:04:00,30,33,29,0,0,0,30
2023-10-04T03:04:30,30,31,29,0,0,0,30
2023-10-04T03:05:00,30,33,29,0,0,0,30
2023-10-04T03:05:30,37,49,29,0,0,0,30
2023-10-04T03:06:00,38,55,29,1,0,0,30
2023-10-04T03:06:30,30,31,29,0,0,0,30
2023-10-04T03:07:00,30,31,29,0,0,0,30
2023-10-04T03:07:30,30,31,30,0,0,0,30
2023-10-04T03:08:00,30,31,29,0,0,0,30
