timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-02-01T08:28:30,16.4,1.5,9.887,10.6,0.8,3.074,16.4,1.5,9.887,13.6,1.6,2.658
2023-02-02T08:41:30,17.2,1.7,5.19,17.2,1.7,5.19,16.6,1.4,7.089,13.8,1.6,2.708
2023-02-03T08:41:30,16.8,1.6,6.802,16.8,1.6,6.802,16.0,1.8,6.55,15.4,1.8,4.016
2023-02-04T08:09:30,16.4,1.3,6.466,16.4,1.3,6.466,16.0,2.0,8.148,12.2,0.7,3.266
2023-02-04T10:16:30,16.4,1.3,6.466,16.4,1.3,6.466,16.6,2.3,10.277,12.2,0.7,3.205
2023-02-05T08:08:30,16.0,1.7,4.498,18.2,0.7,2.596,16.0,1.7,4.498,13.2,1.4,2.815
2023-02-06T07:37:00,17.4,1.3,4.2,17.4,1.3,4.2,15.8,1.7,7.131,-1.0,0.0,2.404
2023-02-07T07:07:00,15.6,2.1,8.53,16.4,0.8,2.824,15.6,2.1,8.53,13.8,2.3,5.716
2023-02-08T08:00:30,16.6,1.5,5.072,17.0,1.8,3.363,16.6,1.5,5.072,-1.0,0.0,1.857
2023-02-09T07:51:30,17.0,1.4,4.613,17.0,1.4,4.613,16.8,1.6,8.248,15.6,0.9,3.328
2023-02-10T08:08:30,16.2,1.8,8.255,15.0,0.6,3.66,16.2,1.8,8.255,15.2,1.3,4.675
2023-02-11T08:32:30,16.2,0.8,7.991,16.2,0.8,7.991,16.2,1.7,13.489,-1.0,0.0,1.628
2023-02-12T08:31:00,16.0,1.6,6.053,16.2,0.6,3.841,16.0,1.6,6.053,14.0,1.2,3.064
2023-02-13T09:29:30,16.4,1.8,7.392,16.4,1.8,7.392,16.2,1.9,12.168,15.4,1.5,4.277
2023-02-14T07:51:00,16.8,1.1,6.109,16.8,1.1,6.109,16.6,1.7,8.672,15.8,1.6,4.2
2023-02-15T08:26:30,16.8,0.6,4.12,16.8,0.6,4.12,17.0,1.8,7.093,16.4,3.2,5.613
2023-02-15T10:04:30,16.8,1.9,8.23,16.6,0.5,3.84,16.8,1.9,8.23,16.4,3.0,6.036
2023-02-16T08:46:30,16.0,1.9,10.712,-1.0,0.0,0.0,16.0,1.9,10.712,-1.0,0.0,2.481
2023-02-17T08:30:00,17.0,1.7,4.359,17.0,1.7,4.359,16.4,1.5,8.714,14.0,0.6,2.52
2023-02-18T11:12:30,16.0,2.1,15.824,15.0,0.9,3.207,16.0,2.1,15.824,-1.0,0.0,1.333
2023-02-19T08:23:30,17.2,1.3,6.635,17.2,1.3,6.635,16.6,1.4,9.09,13.8,1.7,2.641
2023-02-20T08:37:30,16.6,1.7,7.258,16.6,1.3,3.862,16.6,1.7,7.258,16.2,1.5,4.603
2023-02-21T08:51:00,17.4,1.4,6.498,17.4,1.4,6.498,16.2,2.3,11.765,16.8,0.6,2.592
2023-02-22T08:26:00,17.2,1.9,6.502,17.2,1.9,6.502,16.4,1.9,10.477,-1.0,0.0,1.885
2023-02-23T08:17:30,16.6,1.7,9.557,16.0,1.8,3.67,16.6,1.7,9.557,16.6,3.0,5.907
2023-02-24T08:25:30,17.4,1.8,6.442,17.4,1.8,6.442,16.6,1.9,9.173,14.2,0.5,4.34
2023-02-25T08:39:30,17.8,1.1,6.603,17.8,1.1,6.603,16.2,2.0,9.806,13.6,1.4,3.616
2023-02-26T08:38:30,16.8,2.3,8.638,-1.0,0.0,2.492,16.8,2.3,8.638,10.8,0.6,2.785
2023-02-26T11:24:30,17.0,2.1,8.382,-1.0,0.0,2.013,17.0,2.1,8.382,12.4,2.3,3.452
2023-02-27T08:36:00,16.0,2.3,8.985,16.0,2.3,8.985,16.4,2.2,4.982,14.4,1.5,2.668
2023-02-28T08:49:30,16.0,2.9,13.211,17.0,0.8,3.931,16.0,2.9,13.211,-1.0,0.0,2.102
