timestamp,rmssd,coverage,low_frequency,high_frequency
2022-12-24T00:30:00,18.018,0.923,440.344,65.574
2022-12-24T00:35:00,21.889,0.843,474.098,126.013
2022-12-24T00:40:00,21.888,0.941,653.804,75.438
2022-12-24T00:45:00,20.861,0.913,784.703,47.066
2022-12-24T00:50:00,21.628,0.926,1160.265,103.779
2022-12-24T00:55:00,19.736,0.976,1105.173,123.962
2022-12-24T01:00:00,19.74,0.972,1065.355,132.246
2022-12-24T01:05:00,17.41,0.997,887.972,221.588
2022-12-24T01:10:00,15.905,0.999,422.28,49.401
2022-12-24T01:15:00,19.255,0.971,972.942,87.182
2022-12-24T01:20:00,16.489,1.003,948.086,79.925
2022-12-24T01:25:00,15.901,0.988,537.523,73.735
2022-12-24T01:30:00,17.595,0.987,816.113,82.512
2022-12-24T01:35:00,28.625,0.852,1538.685,116.552
2022-12-24T01:40:00,24.055,0.944,677.749,133.502
2022-12-24T01:45:00,21.808,0.941,694.978,96.031
2022-12-24T01:50:00,19.939,0.987,275.811,74.398
2022-12-24T01:55:00,17.777,0.987,316.755,49.53
2022-12-24T02:00:00,15.356,0.977,480.293,72.075
2022-12-24T02:05:00,14.93,0.986,226.079,45.254
2022-12-24T02:10:00,16.662,0.99,190.121,57.73
2022-12-24T02:15:00,16.141,0.988,160.267,36.878
2022-12-24T02:20:00,13.961,0.995,252.357,33.363
2022-12-24T02:25:00,14.462,0.986,77.719,37.134
2022-12-24T02:30:00,15.737,1.0,161.006,42.562
2022-12-24T02:35:00,16.175,0.941,391.469,36.163
2022-12-24T02:40:00,17.301,0.944,1046.964,48.584
2022-12-24T02:45:00,12.879,0.913,313.775,28.001
2022-12-24T02:50:00,15.112,0.998,201.943,31.864
2022-12-24T02:55:00,13.435,1.0,120.953,27.926
2022-12-24T03:00:00,17.327,0.991,167.572,49.206
2022-12-24T03:05:00,21.442,0.976,589.601,56.99
2022-12-24T03:10:00,32.028,0.792,985.22,181.435
2022-12-24T03:15:00,25.378,0.986,878.014,103.029
2022-12-24T03:20:00,28.814,0.86,1606.244,130.442
2022-12-24T03:25:00,30.726,0.897,2459.667,185.507
2022-12-24T03:30:00,27.862,0.929,1085.278,154.222
2022-12-24T03:35:00,32.226,0.846,1552.972,161.276
2022-12-24T03:40:00,34.681,0.879,2971.684,121.091
2022-12-24T03:45:00,24.643,0.91,895.654,106.584
2022-12-24T03:50:00,39.557,0.837,3554.474,162.027
2022-12-24T03:55:00,32.725,0.772,2166.094,150.443
2022-12-24T04:00:00,28.399,0.955,860.013,129.177
2022-12-24T04:05:00,30.79,0.911,1031.512,169.275
2022-12-24T04:10:00,37.278,0.972,1532.89,254.786
2022-12-24T04:15:00,32.271,0.97,1522.772,173.793
2022-12-24T04:20:00,24.763,0.989,378.535,94.258
2022-12-24T04:25:00,31.351,0.902,1407.286,247.078
2022-12-24T04:30:00,29.603,1.002,1294.901,250.302
2022-12-24T04:35:00,27.307,1.005,597.624,183.466
2022-12-24T04:40:00,25.577,0.999,864.079,151.971
2022-12-24T04:45:00,27.637,1.004,915.743,160.101
2022-12-24T04:50:00,23.988,0.911,1892.601,100.483
2022-12-24T04:55:00,23.893,0.876,612.76,98.35
2022-12-24T05:00:00,17.192,0.985,540.448,41.577
2022-12-24T05:05:00,20.634,0.937,146.267,47.277
2022-12-24T05:10:00,21.482,0.994,318.027,63.875
2022-12-24T05:15:00,25.663,0.94,407.314,86.732
2022-12-24T05:20:00,33.094,0.971,490.07,236.002
2022-12-24T05:25:00,29.339,0.997,209.953,116.805
2022-12-24T05:30:00,25.805,0.999,186.026,96.63
2022-12-24T05:35:00,22.27,0.952,398.409,61.829
2022-12-24T05:40:00,22.396,0.979,482.711,75.153
2022-12-24T05:45:00,18.017,0.996,190.465,39.105
2022-12-24T05:50:00,24.302,0.993,301.069,70.501
2022-12-24T05:55:00,20.367,0.932,194.129,49.026
2022-12-24T06:00:00,29.687,0.981,337.564,144.254
2022-12-24T06:05:00,29.385,0.894,1268.336,141.346
2022-12-24T06:10:00,29.458,0.918,1253.667,224.513
2022-12-24T06:15:00,32.244,0.999,949.774,178.428
2022-12-24T06:20:00,35.762,0.938,1904.293,805.208
2022-12-24T06:25:00,27.329,0.996,724.237,209.037
2022-12-24T06:30:00,27.58,0.985,698.269,169.155
2022-12-24T06:35:00,25.129,0.992,305.115,100.291
2022-12-24T06:40:00,21.578,0.916,562.708,91.879
2022-12-24T06:45:00,24.577,0.989,398.935,138.905
2022-12-24T06:50:00,24.381,1.003,183.698,135.64
2022-12-24T06:55:00,24.059,0.994,216.277,98.113
2022-12-24T07:00:00,23.685,0.944,307.341,122.249
2022-12-24T07:05:00,24.836,0.967,845.462,82.217
2022-12-24T07:10:00,26.229,1.003,897.052,141.02
2022-12-24T07:15:00,26.485,0.986,163.145,107.769
2022-12-24T07:20:00,24.817,0.929,373.189,138.898
2022-12-24T07:25:00,28.408,0.98,491.533,131.929
2022-12-24T07:30:00,23.29,0.932,1029.61,86.897
2022-12-24T07:35:00,27.975,0.995,150.093,76.435
2022-12-24T07:50:00,28.718,0.91,526.382,156.848
2022-12-24T07:55:00,27.304,1.003,1825.621,156.452
2022-12-24T08:00:00,30.625,0.896,780.898,179.867
2022-12-24T08:05:00,28.358,0.914,908.709,153.357
2022-12-24T08:10:00,25.081,0.999,754.274,110.424
2022-12-24T08:15:00,21.768,1.005,144.195,97.233
2022-12-24T08:20:00,22.582,0.955,150.57,85.874
2022-12-24T08:25:00,20.68,1.0,163.731,81.171
2022-12-24T08:30:00,23.964,0.84,920.94,103.931
2022-12-24T08:35:00,23.75,0.905,953.378,97.612
2022-12-24T08:40:00,26.789,0.942,622.377,116.057
