timestamp,rmssd,coverage,low_frequency,high_frequency
2022-07-31T00:05:00,18.283,0.939,273.346,58.227
2022-07-31T00:10:00,26.863,0.863,2294.985,238.234
2022-07-31T00:15:00,32.313,0.722,150.827,95.741
2022-07-31T00:30:00,30.676,0.956,543.408,113.929
2022-07-31T00:35:00,35.381,0.854,900.717,216.441
2022-07-31T00:40:00,22.61,0.821,240.097,43.462
2022-07-31T00:45:00,22.265,0.971,642.611,112.007
2022-07-31T00:50:00,21.461,0.972,450.583,118.058
2022-07-31T00:55:00,23.063,0.968,495.566,164.1
2022-07-31T01:00:00,19.738,1.004,395.926,78.272
2022-07-31T01:05:00,21.267,0.858,930.34,84.145
2022-07-31T01:25:00,14.283,1.001,254.831,83.948
2022-07-31T01:30:00,12.218,0.932,43.362,57.208
2022-07-31T01:35:00,12.085,1.003,304.269,37.096
2022-07-31T01:40:00,14.025,0.985,260.876,53.119
2022-07-31T01:45:00,13.912,0.968,696.72,41.569
2022-07-31T01:50:00,14.923,0.943,1135.793,36.06
2022-07-31T01:55:00,11.959,0.994,490.458,25.145
2022-07-31T02:00:00,11.821,0.991,222.597,28.695
2022-07-31T02:05:00,11.109,0.992,259.605,25.629
2022-07-31T02:10:00,9.637,0.985,157.885,14.715
2022-07-31T02:15:00,15.246,0.765,1225.911,43.714
2022-07-31T02:20:00,15.153,0.875,493.489,39.841
2022-07-31T02:25:00,12.459,0.969,281.133,32.634
2022-07-31T02:30:00,13.625,0.961,712.684,37.47
2022-07-31T02:35:00,11.193,0.99,172.082,26.556
2022-07-31T02:40:00,10.268,0.98,175.946,32.593
2022-07-31T02:45:00,9.195,1.001,212.559,29.468
2022-07-31T02:50:00,10.043,0.992,152.712,25.019
2022-07-31T02:55:00,10.904,0.975,139.788,28.111
2022-07-31T03:00:00,12.034,0.973,105.891,31.752
2022-07-31T03:05:00,11.903,0.874,145.099,23.382
2022-07-31T03:10:00,18.045,0.855,1305.156,61.714
2022-07-31T03:15:00,13.903,0.975,446.259,36.693
2022-07-31T03:20:00,11.473,0.996,206.178,29.653
2022-07-31T03:25:00,23.659,0.825,1846.561,88.266
2022-07-31T03:30:00,11.024,0.98,257.692,21.291
2022-07-31T03:35:00,9.324,0.982,249.96,11.83
2022-07-31T03:40:00,10.06,0.983,147.481,14.221
2022-07-31T03:45:00,11.288,0.944,236.325,19.87
2022-07-31T03:50:00,11.491,0.991,939.897,16.889
2022-07-31T03:55:00,8.754,0.998,100.892,10.661
2022-07-31T04:00:00,9.988,0.919,116.632,11.052
2022-07-31T04:05:00,13.305,0.987,922.331,31.31
2022-07-31T04:10:00,12.603,0.987,278.599,39.784
2022-07-31T04:15:00,12.968,0.978,147.548,40.453
2022-07-31T04:20:00,18.505,0.962,432.442,59.578
2022-07-31T04:25:00,19.114,0.934,827.778,78.581
2022-07-31T04:30:00,17.753,0.921,935.134,57.746
2022-07-31T04:35:00,23.375,0.978,2903.754,111.159
2022-07-31T04:40:00,23.443,0.887,1269.134,108.555
2022-07-31T04:45:00,19.551,1.003,676.814,82.927
2022-07-31T04:50:00,22.066,0.89,1739.958,115.794
2022-07-31T05:00:00,27.51,0.95,499.623,159.817
2022-07-31T05:05:00,37.37,0.979,695.901,112.961
2022-07-31T05:10:00,34.507,0.816,934.015,142.334
2022-07-31T05:15:00,22.423,0.972,887.17,102.237
2022-07-31T05:20:00,21.728,0.992,2189.224,246.608
2022-07-31T05:25:00,18.438,0.952,3961.088,312.758
