timestamp,bucket_values
2023-02-01T08:28:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.008, 0.026, 0.069, 0.259, 0.368, 0.201, 0.057, 0.008, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-02T08:41:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.013, 0.04, 0.085, 0.232, 0.326, 0.205, 0.073, 0.015, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-03T08:41:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.006, 0.02, 0.089, 0.191, 0.245, 0.253, 0.131, 0.052, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-04T08:09:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.01, 0.029, 0.077, 0.161, 0.241, 0.272, 0.146, 0.044, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-04T10:16:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.01, 0.029, 0.077, 0.161, 0.241, 0.272, 0.146, 0.044, 0.01, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-05T08:08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.01, 0.017, 0.049, 0.098, 0.211, 0.306, 0.228, 0.067, 0.011, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-06T07:37:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.012, 0.039, 0.121, 0.291, 0.321, 0.157, 0.043, 0.007, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-07T07:07:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.004, 0.009, 0.024, 0.051, 0.102, 0.255, 0.345, 0.172, 0.033, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-08T08:00:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.006, 0.023, 0.045, 0.171, 0.312, 0.243, 0.131, 0.043, 0.015, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-09T07:51:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.007, 0.014, 0.041, 0.108, 0.172, 0.154, 0.186, 0.195, 0.093, 0.022, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-10T08:08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.009, 0.023, 0.057, 0.117, 0.191, 0.295, 0.209, 0.073, 0.012, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-11T08:32:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.007, 0.013, 0.03, 0.065, 0.107, 0.163, 0.301, 0.239, 0.062, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-12T08:31:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.001, 0.004, 0.007, 0.021, 0.055, 0.128, 0.217, 0.31, 0.19, 0.053, 0.012, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-13T09:29:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.005, 0.013, 0.047, 0.109, 0.24, 0.302, 0.212, 0.06, 0.008, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-14T07:51:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.009, 0.03, 0.086, 0.159, 0.293, 0.284, 0.11, 0.022, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-15T08:26:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.01, 0.042, 0.148, 0.301, 0.281, 0.15, 0.052, 0.011, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-15T10:04:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.01, 0.042, 0.148, 0.301, 0.281, 0.15, 0.052, 0.011, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-16T08:46:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.006, 0.024, 0.074, 0.196, 0.359, 0.24, 0.075, 0.016, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-17T08:30:00,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.006, 0.02, 0.063, 0.158, 0.266, 0.256, 0.16, 0.054, 0.013, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-18T11:12:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.005, 0.009, 0.028, 0.084, 0.185, 0.336, 0.216, 0.104, 0.027, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-19T08:23:30,"[0.0, 0.0, 0.0, 0.0, 0.003, 0.006, 0.024, 0.107, 0.278, 0.346, 0.187, 0.041, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-20T08:37:30,"[0.0, 0.0, 0.0, 0.0, 0.003, 0.009, 0.027, 0.103, 0.265, 0.355, 0.185, 0.041, 0.007, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.0, 0.0]"
2023-02-21T08:51:00,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.006, 0.014, 0.051, 0.172, 0.305, 0.261, 0.133, 0.042, 0.01, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-22T08:26:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.004, 0.009, 0.023, 0.055, 0.154, 0.331, 0.248, 0.132, 0.037, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-23T08:17:30,"[0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.006, 0.027, 0.108, 0.258, 0.348, 0.182, 0.05, 0.012, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-24T08:25:30,"[0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.004, 0.011, 0.048, 0.187, 0.358, 0.273, 0.088, 0.02, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-25T08:39:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.005, 0.013, 0.045, 0.139, 0.337, 0.31, 0.117, 0.027, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-26T08:38:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.012, 0.041, 0.126, 0.322, 0.348, 0.122, 0.015, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-26T11:24:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.003, 0.005, 0.012, 0.041, 0.126, 0.322, 0.348, 0.122, 0.015, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2023-02-27T08:36:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.019, 0.047, 0.136, 0.268, 0.264, 0.161, 0.079, 0.017, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
