timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2022-12-01T10:37:30,8.8,1.2,2.647,8.8,1.2,2.647,-1.0,0.0,1.995,-1.0,0.0,2.319
2022-12-02T08:01:30,16.4,2.3,4.626,-1.0,0.0,2.125,16.4,2.3,4.626,-1.0,0.0,2.166
2022-12-02T10:56:30,16.0,2.1,4.734,-1.0,0.0,2.006,16.0,2.1,4.734,14.8,0.8,2.924
2022-12-03T08:26:30,16.4,2.3,6.3,16.0,1.4,3.295,16.4,2.3,6.3,-1.0,0.0,1.846
2022-12-04T03:30:00,16.2,2.4,5.428,-1.0,0.0,1.716,16.2,2.4,5.428,-1.0,0.0,2.425
2022-12-04T12:43:30,18.2,1.7,4.506,18.2,1.7,4.506,16.6,2.0,8.851,-1.0,0.0,2.461
2022-12-05T10:20:30,16.6,2.2,7.366,-1.0,0.0,2.093,16.6,2.2,7.366,10.0,1.4,3.316
2022-12-06T08:44:30,16.8,1.9,4.298,-1.0,0.0,2.253,16.8,1.9,4.298,15.6,2.7,4.635
2022-12-07T10:15:30,17.2,1.7,4.725,17.2,1.7,4.725,16.8,1.8,6.087,-1.0,0.0,1.418
2022-12-08T10:17:00,17.4,2.3,5.001,-1.0,0.0,1.626,17.4,2.3,5.001,-1.0,0.0,1.631
2022-12-09T10:07:00,17.4,2.6,7.058,-1.0,0.0,1.733,17.4,2.6,7.058,-1.0,0.0,1.907
2022-12-10T10:19:30,17.2,2.2,6.852,-1.0,0.0,2.06,17.2,2.2,6.852,-1.0,0.0,2.058
2022-12-11T08:40:30,17.4,2.3,6.389,-1.0,0.0,1.244,17.4,2.3,6.389,-1.0,0.0,1.465
2022-12-11T13:32:30,17.0,1.8,5.211,-1.0,0.0,0.0,17.0,1.8,5.211,16.0,1.3,3.037
2022-12-12T09:49:30,16.6,2.6,8.65,18.0,1.5,3.925,16.6,2.6,8.65,-1.0,0.0,2.028
2022-12-13T11:16:00,17.2,2.2,7.404,17.8,1.4,3.934,17.2,2.2,7.404,-1.0,0.0,1.998
2022-12-14T09:30:30,16.8,1.5,10.25,15.8,0.5,2.849,16.8,1.5,10.25,-1.0,0.0,2.12
2022-12-15T10:16:00,18.4,1.2,6.631,18.4,1.2,6.631,17.4,2.2,9.299,-1.0,0.0,1.543
2022-12-16T09:35:30,18.6,1.1,4.667,18.6,1.1,4.667,17.6,1.5,8.187,-1.0,0.0,1.857
2022-12-17T11:08:00,18.2,2.0,4.879,18.2,2.0,4.879,18.4,2.3,9.464,8.2,0.5,2.589
2022-12-18T08:52:30,16.8,2.6,5.567,-1.0,0.0,1.947,16.8,2.6,5.567,9.6,1.4,3.438
2022-12-19T10:26:00,17.4,1.2,5.919,17.4,1.2,5.919,17.4,1.6,6.824,-1.0,0.0,1.708
2022-12-20T09:50:00,17.8,1.9,4.556,17.8,1.9,4.556,16.6,2.3,8.408,-1.0,0.0,1.501
2022-12-21T09:01:30,18.6,1.6,5.852,18.6,1.6,5.852,16.8,2.1,6.937,16.0,1.1,3.665
2022-12-22T08:04:30,17.2,2.3,6.199,-1.0,0.0,2.447,17.2,2.3,6.199,14.4,1.6,3.543
2022-12-23T08:10:30,16.8,1.8,5.29,16.8,1.8,5.29,17.2,1.6,7.908,11.8,0.6,3.419
2022-12-24T08:46:30,17.6,1.4,9.104,29.8,0.1,2.891,17.6,1.4,9.104,-1.0,0.0,1.745
2022-12-30T08:36:30,16.4,1.8,5.453,15.6,0.7,2.689,16.4,1.8,5.453,-1.0,0.0,1.693
2022-12-31T09:01:30,17.2,2.4,7.873,18.4,1.8,3.49,17.2,2.4,7.873,-1.0,0.0,2.102
