timestamp,rmssd,coverage,low_frequency,high_frequency
2022-10-30T01:10:00,11.178,1.0,129.909,68.117
2022-10-30T01:15:00,20.76,0.882,171.531,124.936
2022-10-30T01:20:00,22.042,0.987,207.77,169.622
2022-10-30T01:25:00,22.796,0.998,697.452,184.194
2022-10-30T01:30:00,23.408,0.98,1389.568,116.797
2022-10-30T01:35:00,20.431,1.002,1092.473,105.109
2022-10-30T01:40:00,20.753,1.001,1132.691,70.174
2022-10-30T01:45:00,19.072,1.0,674.776,107.102
2022-10-30T01:50:00,19.569,0.973,933.709,92.506
2022-10-30T01:55:00,15.795,0.969,239.903,57.771
2022-10-30T02:00:00,17.924,1.0,629.821,99.553
2022-10-30T02:05:00,14.406,1.004,343.216,55.535
2022-10-30T02:10:00,14.84,1.001,166.069,61.53
2022-10-30T02:15:00,11.594,1.001,208.614,42.457
2022-10-30T02:20:00,10.774,1.003,141.246,27.397
2022-10-30T02:25:00,10.136,0.99,279.153,20.747
2022-10-30T02:30:00,10.894,0.989,503.4,44.845
2022-10-30T02:35:00,13.037,0.975,851.109,46.996
2022-10-30T02:40:00,12.87,0.955,1552.881,56.21
2022-10-30T02:45:00,15.278,0.948,1230.685,62.066
2022-10-30T02:50:00,17.228,0.944,2619.687,86.18
2022-10-30T02:55:00,14.385,0.861,578.406,43.98
2022-10-30T03:00:00,8.125,0.979,168.182,14.677
2022-10-30T03:05:00,7.732,0.945,484.615,24.866
2022-10-30T03:10:00,7.313,0.966,247.359,10.8
2022-10-30T03:15:00,9.325,0.982,118.441,18.501
2022-10-30T03:20:00,15.347,0.891,2367.501,367.258
2022-10-30T03:25:00,12.546,0.93,2500.405,635.447
2022-10-30T03:30:00,13.971,0.983,550.312,31.983
2022-10-30T03:35:00,14.321,0.974,2261.571,726.578
2022-10-30T03:40:00,11.264,0.915,258.003,24.945
2022-10-30T03:45:00,9.087,0.992,154.152,22.876
2022-10-30T03:50:00,14.766,0.843,909.293,35.15
2022-10-30T03:55:00,13.662,0.943,2077.446,73.246
2022-10-30T04:00:00,11.936,0.96,625.484,42.849
2022-10-30T04:05:00,13.477,0.937,1422.344,38.61
2022-10-30T04:10:00,16.896,0.891,1125.826,48.178
2022-10-30T04:15:00,11.131,0.972,296.996,21.68
2022-10-30T04:20:00,10.645,1.003,263.108,24.537
2022-10-30T04:25:00,12.857,0.934,598.399,34.885
2022-10-30T04:30:00,17.571,0.908,2320.201,59.677
2022-10-30T04:35:00,16.633,0.836,1384.992,36.593
2022-10-30T04:40:00,17.865,0.943,578.594,78.734
2022-10-30T04:45:00,13.729,1.002,402.185,44.51
2022-10-30T04:50:00,15.185,0.984,372.892,42.529
2022-10-30T04:55:00,14.382,0.998,243.075,43.158
2022-10-30T05:00:00,14.637,0.89,1130.91,63.043
2022-10-30T05:05:00,14.232,0.913,1310.286,47.575
2022-10-30T05:10:00,10.271,0.978,83.588,16.905
2022-10-30T05:15:00,11.475,1.001,77.722,33.962
2022-10-30T05:20:00,11.296,1.004,101.29,19.97
2022-10-30T05:25:00,12.586,1.001,149.214,30.812
2022-10-30T05:30:00,14.581,1.001,613.866,34.979
2022-10-30T05:35:00,11.63,0.923,376.292,19.545
2022-10-30T05:40:00,12.004,0.96,156.333,21.083
2022-10-30T05:45:00,11.38,0.988,483.168,44.355
2022-10-30T05:50:00,13.374,1.001,354.869,32.051
2022-10-30T05:55:00,10.432,0.962,356.893,18.351
2022-10-30T06:00:00,11.056,1.0,416.246,21.756
2022-10-30T06:05:00,11.757,0.992,590.647,28.601
2022-10-30T06:10:00,14.665,0.902,278.369,34.344
2022-10-30T06:15:00,14.921,1.001,627.909,30.229
2022-10-30T06:20:00,16.96,1.001,857.601,64.426
2022-10-30T06:25:00,19.384,0.943,708.101,88.851
2022-10-30T06:30:00,15.572,1.0,797.65,64.459
2022-10-30T06:35:00,15.127,0.974,569.803,57.963
2022-10-30T06:40:00,21.429,0.932,1258.032,104.153
2022-10-30T06:45:00,18.629,0.986,482.819,88.726
2022-10-30T06:50:00,17.668,0.944,387.977,86.763
2022-10-30T06:55:00,16.949,0.893,1346.879,55.298
2022-10-30T07:00:00,16.18,0.938,400.075,43.621
2022-10-30T07:05:00,14.188,0.99,611.644,45.817
2022-10-30T07:10:00,12.011,1.003,179.111,37.349
2022-10-30T07:15:00,10.75,0.983,87.25,32.028
2022-10-30T07:20:00,19.371,0.871,1045.889,58.374
2022-10-30T07:25:00,17.197,0.93,944.53,73.515
2022-10-30T07:30:00,17.794,0.974,751.231,60.509
2022-10-30T07:35:00,20.913,0.892,2579.92,82.109
2022-10-30T07:40:00,12.812,1.003,933.444,33.576
2022-10-30T07:45:00,13.148,0.924,346.023,19.264
2022-10-30T07:50:00,15.539,1.003,129.49,37.323
2022-10-30T07:55:00,15.877,0.923,955.252,60.975
2022-10-30T08:00:00,20.881,0.932,1015.961,75.049
2022-10-30T08:05:00,21.895,0.947,990.885,94.99
2022-10-30T08:10:00,19.319,0.936,1802.244,64.207
2022-10-30T08:25:00,21.366,0.795,1237.648,113.466
2022-10-30T08:30:00,16.796,0.971,1002.026,64.414
2022-10-30T08:35:00,20.146,0.957,1241.566,96.164
2022-10-30T08:40:00,17.14,0.914,1974.544,84.849
2022-10-30T08:45:00,20.66,0.978,2103.573,62.203
2022-10-30T08:50:00,21.951,0.925,1179.728,104.132
2022-10-30T08:55:00,15.02,0.978,226.887,51.84
2022-10-30T09:00:00,11.945,0.993,65.72,17.702
2022-10-30T09:05:00,13.768,1.005,302.001,36.472
2022-10-30T09:10:00,14.354,1.002,501.364,27.806
2022-10-30T09:15:00,19.711,0.883,2641.038,120.85
2022-10-30T09:20:00,25.138,0.93,882.914,112.902
2022-10-30T09:25:00,30.509,0.922,1138.571,117.105
2022-10-30T09:30:00,29.449,0.973,1807.182,208.362
2022-10-30T09:35:00,23.102,0.939,980.275,102.157
2022-10-30T09:40:00,26.774,0.922,1485.795,103.308
2022-10-30T09:45:00,18.324,0.891,869.565,110.749
2022-10-30T09:50:00,25.355,0.934,2757.446,166.037
2022-10-30T09:55:00,23.982,1.0,1509.712,120.775
