recorded_time,temperature,sensor_type
2023-01-02T00:00,-5.0558139534883715,UNKNOWN
2023-01-02T00:01,-5.0558139534883715,UNKNOWN
2023-01-02T00:02,-5.255813953488371,UNKNOWN
2023-01-02T00:03,-5.255813953488371,UNKNOWN
2023-01-02T00:04,-5.255813953488371,UNKNOWN
2023-01-02T00:05,-5.255813953488371,UNKNOWN
2023-01-02T00:06,-5.0558139534883715,UNKNOWN
2023-01-02T00:07,-5.255813953488371,UNKNOWN
2023-01-02T00:08,-5.255813953488371,UNKNOWN
2023-01-02T00:09,-5.255813953488371,UNKNOWN
2023-01-02T00:10,-5.255813953488371,UNKNOWN
2023-01-02T00:11,-5.255813953488371,UNKNOWN
2023-01-02T00:12,-5.255813953488371,UNKNOWN
2023-01-02T00:13,-5.255813953488371,UNKNOWN
2023-01-02T00:14,-5.0558139534883715,UNKNOWN
2023-01-02T00:15,-4.655813953488369,UNKNOWN
2023-01-02T00:16,-3.7558139534883708,UNKNOWN
2023-01-02T00:17,-3.355813953488372,UNKNOWN
2023-01-02T00:18,-3.1558139534883693,UNKNOWN
2023-01-02T00:19,-2.7558139534883708,UNKNOWN
2023-01-02T00:20,-2.2558139534883708,UNKNOWN
2023-01-02T00:21,-2.0558139534883715,UNKNOWN
2023-01-02T00:22,-1.6558139534883693,UNKNOWN
2023-01-02T00:23,-1.45581395348837,UNKNOWN
2023-01-02T00:24,-1.45581395348837,UNKNOWN
2023-01-02T00:25,-1.2558139534883708,UNKNOWN
2023-01-02T00:26,-0.9558139534883701,UNKNOWN
2023-01-02T00:27,-0.7558139534883708,UNKNOWN
2023-01-02T00:28,-0.5558139534883715,UNKNOWN
2023-01-02T00:29,-0.3558139534883722,UNKNOWN
2023-01-02T00:30,-0.15581395348836935,UNKNOWN
2023-01-02T00:31,-0.15581395348836935,UNKNOWN
2023-01-02T00:32,0.04418604651162994,UNKNOWN
2023-01-02T00:33,0.34418604651163065,UNKNOWN
2023-01-02T00:34,0.34418604651163065,UNKNOWN
2023-01-02T00:35,0.5441860465116264,UNKNOWN
2023-01-02T00:36,0.5441860465116264,UNKNOWN
2023-01-02T00:37,0.7441860465116292,UNKNOWN
2023-01-02T00:38,0.7441860465116292,UNKNOWN
2023-01-02T00:39,0.9441860465116321,UNKNOWN
2023-01-02T00:40,0.9441860465116321,UNKNOWN
2023-01-02T00:41,1.1441860465116278,UNKNOWN
2023-01-02T00:42,1.1441860465116278,UNKNOWN
2023-01-02T00:43,1.444186046511632,UNKNOWN
2023-01-02T00:44,1.444186046511632,UNKNOWN
2023-01-02T00:45,1.444186046511632,UNKNOWN
2023-01-02T00:46,1.6441860465116278,UNKNOWN
2023-01-02T00:47,1.6441860465116278,UNKNOWN
2023-01-02T00:48,1.8441860465116307,UNKNOWN
2023-01-02T00:49,1.8441860465116307,UNKNOWN
2023-01-02T00:50,2.0441860465116264,UNKNOWN
2023-01-02T00:51,2.0441860465116264,UNKNOWN
2023-01-02T00:52,2.0441860465116264,UNKNOWN
2023-01-02T00:53,2.3441860465116307,UNKNOWN
2023-01-02T00:54,2.3441860465116307,UNKNOWN
2023-01-02T00:55,2.3441860465116307,UNKNOWN
2023-01-02T00:56,2.5441860465116264,UNKNOWN
2023-01-02T00:57,2.5441860465116264,UNKNOWN
2023-01-02T00:58,1.8441860465116307,UNKNOWN
2023-01-02T00:59,1.6441860465116278,UNKNOWN
2023-01-02T01:00,1.1441860465116278,UNKNOWN
2023-01-02T01:01,0.9441860465116321,UNKNOWN
2023-01-02T01:02,0.7441860465116292,UNKNOWN
