DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2022-10-14T00:00:00,2022-10-14T14:10:18.222,65,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-16T00:00:00,2022-10-16T17:59:48.499,0,0,0,0,0,0,0,NO_DATA,true
2022-10-17T00:00:00,2022-10-17T14:04:59.455,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-18T00:00:00,2022-10-18T15:00:20.584,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-19T00:00:00,2022-10-19T22:12:27.865,73,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-20T00:00:00,2022-10-20T14:35:45.705,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-21T00:00:00,2022-10-21T14:20:26.335,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-22T00:00:00,2022-10-22T14:52:24.083,80,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-23T00:00:00,2022-10-23T15:30:29.04,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-24T00:00:00,2022-10-24T14:05:41.174,74,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-25T00:00:00,2022-10-26T03:31:27.676,0,0,0,0,0,0,0,NO_DATA,true
2022-10-26T00:00:00,2022-10-26T13:35:46.592,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-27T00:00:00,2022-10-27T16:40:04.302,63,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-28T00:00:00,2022-10-28T19:25:07.571,0,0,0,0,0,0,0,NO_DATA,true
2022-10-29T00:00:00,2022-10-29T19:28:37.438,61,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-30T00:00:00,2022-10-30T17:18:40.221,69,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-10-31T00:00:00,2022-10-31T14:02:18.773,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-01T00:00:00,2022-11-01T14:30:33.649,68,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-02T00:00:00,2022-11-03T03:22:37.64,69,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-03T00:00:00,2022-11-03T14:13:16.998,70,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-04T00:00:00,2022-11-04T14:01:24.062,81,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-06T00:00:00,2022-11-06T14:14:22.054,0,0,0,0,0,0,0,NO_DATA,true
2022-11-07T00:00:00,2022-11-07T14:28:27.383,79,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-08T00:00:00,2022-11-08T15:43:27.507,82,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-09T00:00:00,2022-11-09T14:14:32.731,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-10T00:00:00,2022-11-10T20:00:46.679,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-11T00:00:00,2022-11-11T16:29:45.988,76,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-12T00:00:00,2022-11-12T16:51:09.544,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-14T00:00:00,2022-11-14T18:48:41.786,0,0,0,0,0,0,0,NO_DATA,true
2022-11-15T00:00:00,2022-11-15T21:35:51.529,69,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-17T00:00:00,2022-11-17T16:43:42.61,0,0,0,0,0,0,0,NO_DATA,true
2022-11-18T00:00:00,2022-11-19T00:01:38.382,69,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-19T00:00:00,2022-11-19T22:35:33.262,67,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-20T00:00:00,2022-11-20T17:18:32.09,74,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-21T00:00:00,2022-11-21T15:36:10.133,68,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-22T00:00:00,2022-11-22T15:32:48.817,73,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-23T00:00:00,2022-11-23T14:15:01.371,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-24T00:00:00,2022-11-24T15:49:12.961,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-25T00:00:00,2022-11-26T00:51:59.039,66,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-26T00:00:00,2022-11-26T15:15:56.104,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-27T00:00:00,2022-11-27T16:41:48.548,75,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-28T00:00:00,2022-11-28T15:10:46.389,81,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-11-30T00:00:00,2022-11-30T16:09:07.865,0,0,0,0,0,0,0,NO_DATA,true
2022-12-01T00:00:00,2022-12-01T15:39:02.922,67,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-02T00:00:00,2022-12-02T16:19:39.003,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-03T00:00:00,2022-12-03T16:53:12.577,82,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-04T00:00:00,2022-12-04T17:57:25.514,68,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-05T00:00:00,2022-12-05T15:21:04.134,66,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-06T00:00:00,2022-12-06T22:59:12.65,70,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-07T00:00:00,2022-12-07T15:29:29.641,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-08T00:00:00,2022-12-08T15:29:37.628,75,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-09T00:00:00,2022-12-09T15:32:19.595,69,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-10T00:00:00,2022-12-10T15:45:12.998,65,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-11T00:00:00,2022-12-11T18:33:28.939,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-12T00:00:00,2022-12-12T14:50:29.04,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-13T00:00:00,2022-12-13T16:42:02.619,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-14T00:00:00,2022-12-14T21:40:16.753,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-15T00:00:00,2022-12-15T15:35:17.86,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-16T00:00:00,2022-12-16T14:58:01.096,74,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-17T00:00:00,2022-12-17T16:21:21.79,65,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-18T00:00:00,2022-12-18T13:53:35.912,66,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-19T00:00:00,2022-12-19T15:44:18.06,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-20T00:00:00,2022-12-20T15:34:52.328,82,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-21T00:00:00,2022-12-21T14:31:49.952,83,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-22T00:00:00,2022-12-22T13:20:07.52,84,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-23T00:00:00,2022-12-23T22:02:04.437,76,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-24T00:00:00,2022-12-24T14:19:24.281,82,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2022-12-30T00:00:00,2022-12-30T13:37:35.201,0,0,0,0,0,0,0,NO_DATA,true
2022-12-31T00:00:00,2022-12-31T14:03:05.731,82,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2023-01-01T00:00:00,2023-01-01T15:52:27.61,75,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2023-01-02T00:00:00,2023-01-02T15:42:20.222,71,0,0,0,0,0,0,READY_NOT_PREMIUM,false
