timestamp,Infrared to Red Signal Ratio
11/01/23 00:00:00,0
11/01/23 00:01:00,0
11/01/23 00:29:30,0
11/01/23 00:30:30,0
11/01/23 00:31:31,0
11/01/23 00:32:31,0
11/01/23 00:33:31,0
11/01/23 00:34:31,0
11/01/23 00:35:31,0
11/01/23 00:36:31,0
11/01/23 00:37:31,0
11/01/23 00:38:31,0
11/01/23 00:39:31,0
11/01/23 00:40:31,0
11/01/23 00:41:31,0
11/01/23 00:42:31,0
11/01/23 00:43:31,0
11/01/23 00:44:31,0
11/01/23 00:45:31,0
11/01/23 00:46:31,0
11/01/23 00:47:31,0
11/01/23 00:48:31,0
11/01/23 00:49:31,0
11/01/23 00:50:31,0
11/01/23 00:51:31,0
11/01/23 00:52:31,0
11/01/23 00:53:31,0
11/01/23 00:54:31,0
11/01/23 00:55:31,0
11/01/23 00:56:31,0
11/01/23 00:57:31,0
11/01/23 00:58:31,0
11/01/23 00:59:31,0
11/01/23 01:00:31,0
11/01/23 01:01:31,0
11/01/23 01:02:33,0
11/01/23 01:03:33,0
11/01/23 01:04:33,0
11/01/23 01:05:33,0
11/01/23 01:06:33,-4
11/01/23 01:07:33,-7
11/01/23 01:08:33,66
11/01/23 01:09:33,0
11/01/23 01:10:33,10
11/01/23 01:11:33,13
11/01/23 01:12:33,29
11/01/23 01:13:34,0
11/01/23 01:14:34,0
11/01/23 01:15:34,-4
11/01/23 01:16:34,-19
11/01/23 01:17:34,2
11/01/23 01:18:34,21
11/01/23 01:19:34,0
11/01/23 01:20:34,-19
11/01/23 01:21:34,11
11/01/23 01:22:34,-48
11/01/23 01:23:34,0
11/01/23 01:24:34,0
11/01/23 01:25:34,10
11/01/23 01:26:34,-5
11/01/23 01:27:34,8
11/01/23 01:28:34,28
11/01/23 01:29:34,0
11/01/23 01:30:34,-6
11/01/23 01:31:34,0
11/01/23 01:32:34,-1
11/01/23 01:33:34,-7
11/01/23 01:34:34,-7
11/01/23 01:35:34,0
11/01/23 01:36:34,8
11/01/23 01:37:34,-34
11/01/23 01:38:34,-8
11/01/23 01:39:34,3
11/01/23 01:40:34,-20
11/01/23 01:41:34,0
11/01/23 01:42:34,0
11/01/23 01:43:34,-4
11/01/23 01:44:34,13
11/01/23 01:45:34,1
11/01/23 01:46:34,-4
11/01/23 01:47:34,1
11/01/23 01:48:34,28
11/01/23 01:49:34,20
11/01/23 01:50:34,-14
11/01/23 01:51:34,17
11/01/23 01:52:34,0
11/01/23 01:53:34,0
11/01/23 01:54:34,0
11/01/23 01:55:34,7
11/01/23 01:56:34,0
11/01/23 01:57:34,0
11/01/23 01:58:34,30
11/01/23 01:59:34,-6
11/01/23 02:00:34,-11
11/01/23 02:01:34,0
11/01/23 02:02:34,-10
11/01/23 02:03:34,1
11/01/23 02:04:34,10
11/01/23 02:05:34,0
11/01/23 02:06:34,2
11/01/23 02:07:34,-60
11/01/23 02:08:34,8
11/01/23 02:09:34,0
