timestamp,Infrared to Red Signal Ratio
11/24/22 00:45:00,-1
11/24/22 00:46:00,-5
11/24/22 00:47:00,-1
11/24/22 00:48:00,0
11/24/22 00:49:00,12
11/24/22 00:50:00,-4
11/24/22 00:51:00,0
11/24/22 00:52:00,4
11/24/22 00:53:00,8
11/24/22 00:54:00,-1
11/24/22 00:55:00,0
11/24/22 00:56:00,0
11/24/22 00:57:00,-7
11/24/22 00:58:00,4
11/24/22 00:59:00,-3
11/24/22 01:00:00,-6
11/24/22 01:01:00,1
11/24/22 01:02:00,0
11/24/22 01:03:00,-17
11/24/22 01:04:00,-1
11/24/22 01:05:00,-53
11/24/22 01:06:00,72
11/24/22 01:07:00,-13
11/24/22 01:08:00,10
11/24/22 01:09:01,21
11/24/22 01:10:01,-8
11/24/22 01:11:01,-15
11/24/22 01:12:01,-4
11/24/22 01:13:01,0
11/24/22 01:14:01,-22
11/24/22 01:15:01,-10
11/24/22 01:16:01,-9
11/24/22 01:17:01,21
11/24/22 01:18:01,12
11/24/22 01:19:01,8
11/24/22 01:20:01,-52
11/24/22 01:21:01,-53
11/24/22 01:22:01,0
11/24/22 01:23:02,-2
11/24/22 01:24:02,0
11/24/22 01:25:02,-4
11/24/22 01:26:02,-12
11/24/22 01:27:02,-4
11/24/22 01:28:02,-2
11/24/22 01:29:02,0
11/24/22 01:30:02,13
11/24/22 01:31:02,-1
11/24/22 01:32:02,-3
11/24/22 01:33:02,-9
11/24/22 01:34:02,-24
11/24/22 01:35:02,0
11/24/22 01:36:02,12
11/24/22 01:37:02,-2
11/24/22 01:38:02,17
11/24/22 01:39:02,-4
11/24/22 01:40:02,0
11/24/22 01:41:02,2
11/24/22 01:42:02,26
11/24/22 01:43:02,57
11/24/22 01:44:02,25
11/24/22 01:45:02,0
11/24/22 01:46:02,20
11/24/22 01:47:02,0
11/24/22 01:48:02,46
11/24/22 01:49:02,0
11/24/22 01:50:02,5
11/24/22 01:51:02,8
11/24/22 01:52:02,10
11/24/22 01:53:02,30
11/24/22 01:54:02,8
11/24/22 01:55:02,-12
11/24/22 01:56:02,0
11/24/22 01:57:02,-47
11/24/22 01:58:02,-13
11/24/22 01:59:02,-6
11/24/22 02:00:02,0
11/24/22 02:01:02,7
11/24/22 02:02:02,13
11/24/22 02:03:02,0
11/24/22 02:04:02,5
11/24/22 02:05:02,1
11/24/22 02:06:02,0
11/24/22 02:07:02,0
11/24/22 02:08:02,-1
11/24/22 02:09:02,-29
11/24/22 02:10:02,29
11/24/22 02:11:02,16
11/24/22 02:12:02,-1
11/24/22 02:13:02,24
11/24/22 02:14:02,-13
11/24/22 02:15:02,-44
11/24/22 02:16:02,0
11/24/22 02:17:02,-5
11/24/22 02:18:02,0
11/24/22 02:19:02,8
11/24/22 02:20:02,-2
11/24/22 02:21:02,-1
11/24/22 02:22:02,0
11/24/22 02:23:02,-21
11/24/22 02:24:02,-48
11/24/22 02:25:02,-6
11/24/22 02:26:02,-18
11/24/22 02:27:02,27
11/24/22 02:28:02,-13
11/24/22 02:29:02,13
11/24/22 02:30:02,15
11/24/22 02:31:02,-8
11/24/22 02:32:02,-2
