timestamp,Infrared to Red Signal Ratio
07/17/23 00:00:31,6
07/17/23 00:01:31,-31
07/17/23 00:02:31,5
07/17/23 00:03:31,0
07/17/23 00:04:31,8
07/17/23 00:05:31,26
07/17/23 00:06:31,-15
07/17/23 00:07:31,0
07/17/23 00:08:31,-1
07/17/23 00:09:31,20
07/17/23 00:10:31,0
07/17/23 00:11:31,-21
07/17/23 00:12:31,0
07/17/23 00:13:31,14
07/17/23 00:14:31,0
07/17/23 00:15:31,-2
07/17/23 00:16:31,0
07/17/23 00:17:31,0
07/17/23 00:18:31,10
07/17/23 00:19:31,0
07/17/23 00:20:31,3
07/17/23 00:21:31,0
07/17/23 00:22:31,0
07/17/23 00:23:31,-6
07/17/23 00:24:31,-2
07/17/23 00:25:31,0
07/17/23 00:26:31,0
07/17/23 00:27:31,29
07/17/23 00:28:31,-17
07/17/23 00:29:31,0
07/17/23 00:30:31,4
07/17/23 00:31:31,6
07/17/23 00:32:31,0
07/17/23 00:33:31,1
07/17/23 00:34:31,-22
07/17/23 00:35:31,1
07/17/23 00:36:31,-5
07/17/23 00:37:31,19
07/17/23 00:38:31,-5
07/17/23 00:39:31,-5
07/17/23 00:40:31,-10
07/17/23 00:41:31,-13
07/17/23 00:42:31,-23
07/17/23 00:43:31,-30
07/17/23 00:44:31,9
07/17/23 00:45:31,-3
07/17/23 00:46:31,-4
07/17/23 00:47:31,-17
07/17/23 00:48:31,2
07/17/23 00:49:31,-2
07/17/23 00:50:31,4
07/17/23 00:51:31,2
07/17/23 00:52:31,1
07/17/23 00:53:31,4
07/17/23 00:54:31,0
07/17/23 00:55:31,0
07/17/23 00:56:32,-4
07/17/23 00:57:32,-4
07/17/23 00:58:32,27
07/17/23 00:59:32,34
07/17/23 01:00:32,11
07/17/23 01:01:32,5
07/17/23 01:02:32,1
07/17/23 01:03:32,4
07/17/23 01:04:32,0
07/17/23 01:05:32,4
07/17/23 01:06:32,-44
07/17/23 01:07:32,1
07/17/23 01:08:32,21
07/17/23 01:09:32,-8
07/17/23 01:10:32,0
07/17/23 01:11:32,0
07/17/23 01:12:32,-2
07/17/23 01:13:32,-21
07/17/23 01:14:32,0
07/17/23 01:15:32,0
07/17/23 01:16:32,-26
07/17/23 01:17:32,0
07/17/23 01:18:32,0
07/17/23 01:19:33,-2
07/17/23 01:20:33,-11
07/17/23 01:21:33,-5
07/17/23 01:22:33,-47
07/17/23 01:23:33,-3
07/17/23 01:24:33,0
07/17/23 01:25:33,-2
07/17/23 01:26:33,0
07/17/23 01:27:33,30
07/17/23 01:28:33,-2
07/17/23 01:29:33,1
07/17/23 01:30:33,6
07/17/23 01:31:33,1
07/17/23 01:32:33,0
07/17/23 01:33:33,0
07/17/23 01:34:33,4
07/17/23 01:35:33,2
07/17/23 01:36:33,-17
07/17/23 01:37:33,-3
07/17/23 01:38:33,2
07/17/23 01:39:33,0
07/17/23 01:40:33,-40
07/17/23 01:41:33,-25
07/17/23 01:42:33,0
07/17/23 01:43:33,4
07/17/23 01:44:33,-14
07/17/23 01:45:33,-10
07/17/23 01:46:33,-6
07/17/23 01:47:33,5
07/17/23 01:48:33,0
07/17/23 01:49:33,4
07/17/23 01:50:33,6
07/17/23 01:51:33,32
07/17/23 01:52:33,0
07/17/23 01:53:33,-43
07/17/23 01:54:33,0
07/17/23 01:55:33,0
07/17/23 01:56:33,-2
07/17/23 01:57:33,-1
07/17/23 01:58:33,-10
07/17/23 01:59:33,3
07/17/23 02:00:33,4
07/17/23 02:01:33,-11
07/17/23 02:02:33,0
07/17/23 02:03:33,-4
07/17/23 02:04:33,0
07/17/23 02:05:33,-33
07/17/23 02:06:33,10
07/17/23 02:07:33,0
07/17/23 02:08:33,-2
07/17/23 02:09:33,-1
07/17/23 02:10:33,0
07/17/23 02:11:33,2
07/17/23 02:12:33,27
07/17/23 02:13:33,9
07/17/23 02:14:33,-30
07/17/23 02:15:33,-26
07/17/23 02:16:33,3
