timestamp,Infrared to Red Signal Ratio
06/12/23 00:00:31,0
06/12/23 00:01:31,0
06/12/23 00:02:31,0
06/12/23 00:03:31,0
06/12/23 00:04:31,0
06/12/23 00:05:31,0
06/12/23 00:06:31,0
06/12/23 00:07:31,0
06/12/23 00:08:31,0
06/12/23 00:09:31,0
06/12/23 00:10:31,0
06/12/23 00:11:32,0
06/12/23 00:12:32,0
06/12/23 00:13:32,0
06/12/23 00:14:32,61
06/12/23 00:15:32,3
06/12/23 00:16:32,0
06/12/23 00:17:32,-4
06/12/23 00:18:32,17
06/12/23 00:19:32,0
06/12/23 00:20:32,0
06/12/23 00:21:32,0
06/12/23 00:22:32,0
06/12/23 00:23:32,7
06/12/23 00:24:32,0
06/12/23 00:25:32,0
06/12/23 00:26:32,3
06/12/23 00:27:32,0
06/12/23 00:28:32,0
06/12/23 00:29:32,0
06/12/23 00:30:32,0
06/12/23 00:31:32,0
06/12/23 00:32:32,0
06/12/23 00:33:32,0
06/12/23 00:34:32,0
06/12/23 00:35:32,0
06/12/23 00:36:32,27
06/12/23 00:37:32,-4
06/12/23 00:38:32,0
06/12/23 00:39:32,-5
06/12/23 00:40:32,0
06/12/23 00:41:32,-5
06/12/23 00:42:32,1
06/12/23 00:43:32,-6
06/12/23 00:44:32,0
06/12/23 00:45:32,3
06/12/23 00:46:32,18
06/12/23 00:47:32,5
06/12/23 00:48:32,0
06/12/23 00:49:32,27
06/12/23 00:50:32,15
06/12/23 00:51:32,-34
06/12/23 00:52:32,-10
06/12/23 00:53:32,-19
06/12/23 00:54:32,0
06/12/23 00:55:32,10
06/12/23 00:56:32,0
06/12/23 00:57:32,-15
06/12/23 00:58:32,-39
06/12/23 00:59:32,-17
06/12/23 01:00:32,-47
06/12/23 01:01:32,89
06/12/23 01:02:32,2
06/12/23 01:03:32,1
06/12/23 01:04:32,0
06/12/23 01:05:32,53
06/12/23 01:06:32,-16
06/12/23 01:07:32,-17
06/12/23 01:08:32,3
06/12/23 01:09:32,-4
06/12/23 01:10:32,-4
06/12/23 01:11:32,-21
06/12/23 01:12:32,0
06/12/23 01:13:32,0
06/12/23 01:14:32,-4
06/12/23 01:15:32,8
06/12/23 01:16:32,0
06/12/23 01:17:32,34
06/12/23 01:18:32,-5
06/12/23 01:19:32,-2
06/12/23 01:20:32,-10
06/12/23 01:21:32,-6
06/12/23 01:22:32,-1
06/12/23 01:23:32,0
06/12/23 01:24:32,-4
06/12/23 01:25:32,15
06/12/23 01:26:32,0
06/12/23 01:27:32,4
06/12/23 01:28:32,-24
06/12/23 01:29:32,5
06/12/23 01:30:32,0
06/12/23 01:31:32,-14
06/12/23 01:32:32,0
06/12/23 01:33:32,0
06/12/23 01:34:32,-1
06/12/23 01:35:32,-3
06/12/23 01:36:32,-4
06/12/23 01:37:32,-20
06/12/23 01:38:32,6
06/12/23 01:39:32,-2
06/12/23 01:40:32,-8
06/12/23 01:41:32,-1
06/12/23 01:42:32,0
06/12/23 01:43:32,-2
06/12/23 01:44:32,-14
06/12/23 01:45:32,-1
06/12/23 01:46:32,-15
06/12/23 01:47:32,0
06/12/23 01:48:32,0
06/12/23 01:49:32,2
06/12/23 01:50:32,40
06/12/23 01:51:32,0
06/12/23 01:52:32,0
06/12/23 01:53:32,0
06/12/23 01:54:32,-11
06/12/23 01:55:32,0
06/12/23 01:56:32,0
06/12/23 01:57:32,-21
06/12/23 01:58:32,37
06/12/23 01:59:32,0
06/12/23 02:00:32,-3
06/12/23 02:01:32,4
06/12/23 02:02:32,1
06/12/23 02:03:32,-39
06/12/23 02:04:32,0
06/12/23 02:05:32,0
06/12/23 02:06:32,-25
06/12/23 02:07:32,-9
06/12/23 02:08:32,-25
06/12/23 02:09:32,2
06/12/23 02:10:32,-5
06/12/23 02:11:32,6
06/12/23 02:12:32,56
06/12/23 02:13:32,15
06/12/23 02:14:32,-23
06/12/23 02:15:32,17
06/12/23 02:16:32,-40
06/12/23 02:17:32,34
06/12/23 02:18:32,17
06/12/23 02:19:32,0
06/12/23 02:20:33,-8
06/12/23 02:21:33,17
06/12/23 02:22:33,-27
06/12/23 02:23:33,-13
06/12/23 02:24:33,6
06/12/23 02:25:33,0
06/12/23 02:26:33,31
06/12/23 02:27:33,0
06/12/23 02:28:33,21
06/12/23 02:29:34,-13
06/12/23 02:30:34,-4
06/12/23 02:31:34,18
06/12/23 02:32:34,5
06/12/23 02:33:34,6
06/12/23 02:34:34,3
06/12/23 02:35:34,-4
06/12/23 02:36:34,0
06/12/23 02:37:34,9
06/12/23 02:38:34,-9
06/12/23 02:39:34,3
06/12/23 02:40:34,5
06/12/23 02:41:34,17
06/12/23 02:42:34,0
06/12/23 02:43:34,-10
06/12/23 02:44:34,-1
06/12/23 02:45:34,0
06/12/23 02:46:34,1
06/12/23 02:47:34,-13
06/12/23 02:48:34,-4
06/12/23 02:49:34,-2
06/12/23 02:50:34,7
06/12/23 02:51:34,13
06/12/23 02:52:34,-8
06/12/23 02:53:34,0
06/12/23 02:54:34,46
06/12/23 02:55:34,0
06/12/23 02:56:34,-1
06/12/23 02:57:34,-5
06/12/23 02:58:34,4
06/12/23 02:59:34,-3
06/12/23 03:00:34,-26
06/12/23 03:01:34,0
06/12/23 03:02:35,-7
06/12/23 03:03:35,0
06/12/23 03:04:35,-8
06/12/23 03:05:35,6
06/12/23 03:06:35,-2
06/12/23 03:07:35,-5
06/12/23 03:08:35,3
06/12/23 03:09:35,1
06/12/23 03:10:35,4
06/12/23 03:11:35,-21
06/12/23 03:12:35,-11
06/12/23 03:13:35,-8
06/12/23 03:14:35,-2
06/12/23 03:15:35,-4
06/12/23 03:16:35,-2
06/12/23 03:17:35,0
06/12/23 03:18:35,0
06/12/23 03:19:35,1
06/12/23 03:20:35,-1
06/12/23 03:21:35,-33
06/12/23 03:22:35,-8
06/12/23 03:23:35,0
06/12/23 03:24:35,0
06/12/23 03:25:35,0
06/12/23 03:26:35,39
06/12/23 03:27:35,16
06/12/23 03:28:35,0
06/12/23 03:29:35,-1
06/12/23 03:30:35,9
