timestamp,Infrared to Red Signal Ratio
08/20/23 00:00:31,2
08/20/23 00:01:31,2
08/20/23 00:02:31,52
08/20/23 00:03:31,2
08/20/23 00:04:31,26
08/20/23 00:05:31,51
08/20/23 00:06:31,15
08/20/23 00:07:31,4
08/20/23 00:08:31,0
08/20/23 00:09:31,-4
08/20/23 00:10:31,0
08/20/23 00:11:31,0
08/20/23 00:12:31,0
08/20/23 00:13:31,0
08/20/23 00:14:31,21
08/20/23 00:15:31,-26
08/20/23 00:16:31,38
08/20/23 00:17:31,0
08/20/23 00:18:31,-1
08/20/23 00:19:31,13
08/20/23 00:20:31,12
08/20/23 00:21:31,-10
08/20/23 00:22:31,0
08/20/23 00:23:31,-47
08/20/23 00:24:31,11
08/20/23 00:25:31,-7
08/20/23 00:26:31,-4
08/20/23 00:27:31,0
08/20/23 00:28:31,0
08/20/23 00:29:31,4
08/20/23 00:30:31,34
08/20/23 00:31:32,0
08/20/23 00:32:32,-21
08/20/23 00:33:32,54
08/20/23 00:34:32,-10
08/20/23 00:35:32,-13
08/20/23 00:36:32,0
08/20/23 00:37:32,15
08/20/23 00:38:32,-10
08/20/23 00:39:32,0
08/20/23 00:40:32,0
08/20/23 00:41:32,0
08/20/23 00:42:32,-34
08/20/23 00:43:32,-13
08/20/23 00:44:32,0
08/20/23 00:45:32,0
08/20/23 00:46:32,-7
08/20/23 00:47:32,9
08/20/23 00:48:32,-15
08/20/23 00:49:32,-16
08/20/23 00:50:32,-17
08/20/23 00:51:32,-29
08/20/23 00:52:32,14
08/20/23 00:53:32,-8
08/20/23 00:54:32,-13
08/20/23 00:55:32,-58
08/20/23 00:56:32,-38
08/20/23 00:57:32,0
08/20/23 00:58:32,-8
08/20/23 00:59:32,0
08/20/23 01:00:32,-3
08/20/23 01:01:32,-39
08/20/23 01:02:32,-20
08/20/23 01:03:32,0
08/20/23 01:04:32,-4
08/20/23 01:05:32,0
08/20/23 01:06:32,-16
08/20/23 01:07:32,-21
08/20/23 01:08:33,-15
08/20/23 01:09:33,-56
08/20/23 01:10:33,0
08/20/23 01:11:33,-32
08/20/23 01:12:33,-18
08/20/23 01:13:33,4
08/20/23 01:14:33,-1
08/20/23 01:15:33,-26
08/20/23 01:16:33,0
08/20/23 01:17:33,4
08/20/23 01:18:33,-4
08/20/23 01:19:33,3
08/20/23 01:20:33,0
08/20/23 01:21:33,12
08/20/23 01:22:33,-52
08/20/23 01:23:33,31
08/20/23 01:24:33,25
08/20/23 01:25:33,-21
08/20/23 01:26:33,-73
08/20/23 01:27:33,0
08/20/23 01:28:33,-14
08/20/23 01:29:33,-2
08/20/23 01:30:33,0
08/20/23 01:31:33,-3
08/20/23 01:32:33,-5
08/20/23 01:33:33,-13
08/20/23 01:34:33,0
08/20/23 01:35:33,-29
08/20/23 01:36:33,-1
08/20/23 01:37:33,-6
08/20/23 01:38:33,0
08/20/23 01:39:33,-3
08/20/23 01:40:33,7
08/20/23 01:41:33,-4
08/20/23 01:42:33,-2
08/20/23 01:43:33,0
08/20/23 01:44:33,-4
08/20/23 01:45:33,14
08/20/23 01:46:33,-13
08/20/23 01:47:33,0
08/20/23 01:48:33,7
08/20/23 01:49:33,-73
08/20/23 01:50:33,-15
08/20/23 01:51:33,0
08/20/23 01:52:33,-10
08/20/23 01:53:33,0
08/20/23 01:54:33,0
08/20/23 01:55:33,-3
08/20/23 01:56:33,10
08/20/23 01:57:33,21
08/20/23 01:58:33,0
08/20/23 01:59:33,0
08/20/23 02:00:33,-25
08/20/23 02:01:33,9
08/20/23 02:02:33,-3
08/20/23 02:03:34,-2
08/20/23 02:04:34,-6
08/20/23 02:05:34,-10
08/20/23 02:06:34,3
08/20/23 02:07:34,-25
08/20/23 02:08:34,0
08/20/23 02:09:34,0
08/20/23 02:10:34,-17
08/20/23 02:11:34,-21
08/20/23 02:12:34,3
08/20/23 02:13:34,8
08/20/23 02:14:34,11
08/20/23 02:15:34,-14
08/20/23 02:16:34,-1
08/20/23 02:17:34,-16
08/20/23 02:18:34,-5
08/20/23 02:19:34,-10
08/20/23 02:20:34,0
08/20/23 02:21:34,-37
08/20/23 02:22:34,11
08/20/23 02:23:34,4
08/20/23 02:24:34,-13
08/20/23 02:25:35,-26
08/20/23 02:26:35,-15
08/20/23 02:27:35,0
08/20/23 02:28:35,-9
08/20/23 02:29:35,-2
08/20/23 02:30:35,0
08/20/23 02:31:35,0
08/20/23 02:32:35,4
08/20/23 02:33:35,-2
08/20/23 02:34:35,0
08/20/23 02:35:37,0
08/20/23 02:36:37,-8
08/20/23 02:37:37,-15
08/20/23 02:38:37,0
08/20/23 02:39:37,0
08/20/23 02:40:37,24
08/20/23 02:41:37,-19
08/20/23 02:42:37,-3
08/20/23 02:43:37,22
08/20/23 02:44:37,0
08/20/23 02:45:37,-17
08/20/23 02:46:37,-35
08/20/23 02:47:37,-4
08/20/23 02:48:37,-23
08/20/23 02:49:37,-10
08/20/23 02:50:37,-11
08/20/23 02:51:37,-1
08/20/23 02:52:37,-22
08/20/23 02:53:37,-2
08/20/23 02:54:37,0
08/20/23 02:55:37,1
08/20/23 02:56:37,4
08/20/23 02:57:37,-7
08/20/23 02:58:37,-24
08/20/23 02:59:37,0
08/20/23 03:00:37,4
08/20/23 03:01:37,0
08/20/23 03:02:37,6
08/20/23 03:03:37,8
08/20/23 03:04:37,-13
08/20/23 03:05:37,21
08/20/23 03:06:37,0
08/20/23 03:07:37,5
08/20/23 03:08:37,0
08/20/23 03:09:37,1
08/20/23 03:10:37,-14
08/20/23 03:11:37,1
08/20/23 03:12:37,-1
08/20/23 03:13:37,0
08/20/23 03:14:37,3
08/20/23 03:15:37,8
08/20/23 03:16:37,2
08/20/23 03:17:37,8
08/20/23 03:18:37,34
08/20/23 03:19:37,0
08/20/23 03:20:37,11
08/20/23 03:21:37,-1
08/20/23 03:22:37,13
08/20/23 03:23:37,3
08/20/23 03:24:37,4
08/20/23 03:25:37,20
08/20/23 03:26:39,14
08/20/23 03:27:39,-6
08/20/23 03:28:39,-2
08/20/23 03:29:39,0
08/20/23 03:30:39,50
08/20/23 03:31:39,0
08/20/23 03:32:39,17
08/20/23 03:33:39,13
08/20/23 03:34:39,15
08/20/23 03:35:39,17
08/20/23 03:36:39,-3
08/20/23 03:37:39,11
08/20/23 03:38:39,6
08/20/23 03:39:39,11
08/20/23 03:40:39,0
08/20/23 03:41:39,12
08/20/23 03:42:39,-1
08/20/23 03:43:39,37
08/20/23 03:44:39,-51
08/20/23 03:45:39,23
08/20/23 03:46:39,0
08/20/23 03:47:39,3
08/20/23 03:48:39,6
08/20/23 03:49:39,29
08/20/23 03:50:39,8
08/20/23 03:51:39,-26
08/20/23 03:52:39,29
08/20/23 03:53:39,-7
08/20/23 03:54:39,-19
08/20/23 03:55:39,0
08/20/23 03:56:39,0
08/20/23 03:57:39,-4
08/20/23 03:58:39,3
08/20/23 03:59:39,33
08/20/23 04:00:39,26
08/20/23 04:01:39,0
08/20/23 04:02:39,4
08/20/23 04:03:39,-5
08/20/23 04:04:39,1
08/20/23 04:05:39,-24
08/20/23 04:06:39,10
08/20/23 04:07:39,-8
08/20/23 04:08:39,-10
08/20/23 04:09:41,-4
08/20/23 04:10:41,-24
08/20/23 04:11:41,3
08/20/23 04:12:41,0
08/20/23 04:13:41,-1
08/20/23 04:14:41,9
08/20/23 04:15:41,-29
08/20/23 04:16:41,-5
08/20/23 04:17:41,-6
08/20/23 04:18:41,18
08/20/23 04:19:41,10
08/20/23 04:20:41,10
08/20/23 04:21:41,-6
08/20/23 04:22:41,0
08/20/23 04:23:41,-5
08/20/23 04:24:41,-4
08/20/23 04:25:41,26
08/20/23 04:26:41,2
08/20/23 04:27:41,0
08/20/23 04:28:41,0
08/20/23 04:29:41,32
08/20/23 04:30:41,8
08/20/23 04:31:41,2
08/20/23 04:32:41,0
08/20/23 04:33:41,-7
08/20/23 04:34:41,-8
08/20/23 04:35:41,-3
08/20/23 04:36:41,10
08/20/23 04:37:41,0
08/20/23 04:38:41,7
08/20/23 04:39:41,0
08/20/23 04:40:41,-12
08/20/23 04:41:41,2
08/20/23 04:42:41,-10
08/20/23 04:43:41,-7
08/20/23 04:44:41,25
08/20/23 04:45:41,-78
08/20/23 04:46:41,-26
08/20/23 04:47:41,0
08/20/23 04:48:41,1
08/20/23 04:49:41,-7
08/20/23 04:50:41,0
08/20/23 04:51:41,-4
08/20/23 04:52:41,-5
08/20/23 04:53:41,-69
08/20/23 04:54:41,-6
08/20/23 04:55:41,1
08/20/23 04:56:41,37
08/20/23 04:57:41,10
08/20/23 04:58:41,0
08/20/23 04:59:41,0
08/20/23 05:00:41,0
08/20/23 05:01:41,0
08/20/23 05:02:41,0
08/20/23 05:03:41,-6
08/20/23 05:04:41,19
08/20/23 05:05:41,26
08/20/23 05:06:41,11
08/20/23 05:07:41,41
08/20/23 05:08:41,22
08/20/23 05:09:41,-10
08/20/23 05:10:41,-11
08/20/23 05:11:41,-9
08/20/23 05:12:41,1
08/20/23 05:13:41,-17
08/20/23 05:14:41,0
08/20/23 05:15:41,29
08/20/23 05:16:41,-27
08/20/23 05:17:41,-4
08/20/23 05:18:41,-3
08/20/23 05:19:41,1
08/20/23 05:20:41,-8
08/20/23 05:21:41,32
08/20/23 05:22:41,37
08/20/23 05:23:41,0
08/20/23 05:24:41,-21
08/20/23 05:25:41,-8
08/20/23 05:26:41,0
08/20/23 05:27:41,13
08/20/23 05:28:41,-17
08/20/23 05:29:41,-1
08/20/23 05:30:41,5
08/20/23 05:31:41,-20
08/20/23 05:32:41,22
08/20/23 05:33:41,0
08/20/23 05:34:41,7
08/20/23 05:35:41,1
08/20/23 05:36:41,0
08/20/23 05:37:41,-27
08/20/23 05:38:41,0
08/20/23 05:39:41,0
08/20/23 05:40:41,-39
08/20/23 05:41:41,0
