timestamp,Infrared to Red Signal Ratio
10/15/22 11:46:00,10
10/15/22 11:47:00,-47
10/15/22 11:48:00,38
10/15/22 11:49:00,-24
10/15/22 11:50:00,3
10/15/22 11:51:00,0
10/15/22 11:52:00,-9
10/15/22 11:53:00,0
10/15/22 11:54:00,-4
10/15/22 11:55:00,-4
10/15/22 11:56:00,4
10/15/22 11:57:00,5
10/15/22 11:58:00,0
10/15/22 11:59:00,8
10/15/22 12:00:00,0
10/15/22 12:01:00,0
10/15/22 12:02:00,0
10/15/22 12:03:02,0
10/15/22 12:04:02,14
10/15/22 12:05:02,-13
10/15/22 12:06:02,0
10/15/22 12:07:02,0
10/15/22 12:08:02,-21
10/15/22 12:09:02,-4
10/15/22 12:10:02,0
10/15/22 12:11:02,-7
10/15/22 12:12:02,-4
10/15/22 12:13:02,4
10/15/22 12:14:02,16
10/15/22 12:15:02,0
10/15/22 12:16:02,0
10/15/22 12:17:02,0
10/15/22 12:18:02,0
10/15/22 12:19:02,10
10/15/22 12:20:02,0
10/15/22 12:21:02,0
10/15/22 12:22:02,0
10/15/22 12:23:03,-11
10/15/22 12:24:03,-26
10/15/22 12:25:03,0
10/15/22 19:47:00,-21
10/15/22 19:48:00,-24
10/15/22 19:49:01,-14
10/15/22 19:50:01,-5
10/15/22 19:51:01,10
10/15/22 19:52:01,1
10/15/22 19:53:01,-4
10/15/22 19:54:01,-1
10/15/22 19:55:01,-8
10/15/22 19:56:01,0
10/15/22 19:57:01,-46
10/15/22 19:58:01,4
10/15/22 19:59:01,21
10/15/22 20:00:01,-4
10/15/22 20:01:01,-13
10/15/22 20:02:01,-6
10/15/22 20:03:01,0
10/15/22 20:04:01,0
10/15/22 20:05:01,0
10/15/22 20:06:01,4
10/15/22 20:07:01,-26
10/15/22 20:08:01,0
10/15/22 20:09:01,-38
10/15/22 20:10:01,11
10/15/22 20:11:01,6
10/15/22 20:12:01,-30
10/15/22 20:13:01,-17
10/15/22 20:14:01,0
10/15/22 20:15:01,0
10/15/22 20:16:01,-9
10/15/22 20:17:01,8
10/15/22 20:18:01,7
