timestamp,Infrared to Red Signal Ratio
02/09/23 00:00:31,-33
02/09/23 00:01:31,1
02/09/23 00:02:31,18
02/09/23 00:03:31,-4
02/09/23 00:04:31,-34
02/09/23 00:05:31,-6
02/09/23 00:06:31,0
02/09/23 00:07:31,-47
02/09/23 00:08:31,-10
02/09/23 00:09:31,-3
02/09/23 00:10:31,15
02/09/23 00:11:31,-32
02/09/23 00:12:32,0
02/09/23 00:13:32,24
02/09/23 00:14:32,0
02/09/23 00:15:32,0
02/09/23 00:16:32,-38
02/09/23 00:17:32,20
02/09/23 00:18:32,-17
02/09/23 00:19:32,-7
02/09/23 00:20:32,0
02/09/23 00:21:32,17
02/09/23 00:22:32,-3
02/09/23 00:23:32,-43
02/09/23 00:24:32,0
02/09/23 00:25:32,3
02/09/23 00:26:32,-5
02/09/23 00:27:32,-8
02/09/23 00:28:32,8
02/09/23 00:29:32,-25
02/09/23 00:30:32,8
02/09/23 00:31:32,1
02/09/23 00:32:32,-30
02/09/23 00:33:32,-21
02/09/23 00:34:32,-21
02/09/23 00:35:32,-39
02/09/23 00:36:32,0
02/09/23 00:37:32,-24
02/09/23 00:38:32,-37
02/09/23 00:39:32,0
02/09/23 00:40:32,-11
02/09/23 00:41:32,-16
02/09/23 00:42:32,-4
02/09/23 00:43:32,1
02/09/23 00:44:32,-14
02/09/23 00:45:32,1
02/09/23 00:46:32,-37
02/09/23 00:47:32,0
02/09/23 00:48:32,15
02/09/23 00:49:32,-26
02/09/23 00:50:32,-10
02/09/23 00:51:32,67
02/09/23 00:52:32,6
02/09/23 00:53:32,-58
02/09/23 00:54:32,-13
02/09/23 00:55:32,-2
02/09/23 00:56:32,6
02/09/23 00:57:32,34
02/09/23 00:58:32,10
02/09/23 00:59:32,0
02/09/23 01:00:32,-61
02/09/23 01:01:32,-32
02/09/23 01:02:32,13
02/09/23 01:03:32,-4
02/09/23 01:04:32,-1
02/09/23 01:05:32,0
02/09/23 01:06:32,-7
02/09/23 01:07:32,0
02/09/23 01:08:32,-5
02/09/23 01:09:32,39
02/09/23 01:10:32,-4
02/09/23 01:11:32,4
02/09/23 01:12:32,18
02/09/23 01:13:32,-16
02/09/23 01:14:32,5
02/09/23 01:15:32,0
02/09/23 01:16:32,16
02/09/23 01:17:32,0
02/09/23 01:18:32,-1
02/09/23 01:19:32,7
02/09/23 01:20:32,-4
02/09/23 01:21:32,8
02/09/23 01:22:32,0
02/09/23 01:23:32,20
02/09/23 01:24:32,12
02/09/23 01:25:32,0
02/09/23 01:26:32,8
02/09/23 01:27:32,-1
02/09/23 01:28:33,-22
02/09/23 01:29:33,-4
02/09/23 01:30:33,2
02/09/23 01:31:33,-33
02/09/23 01:32:33,-10
02/09/23 01:33:33,14
02/09/23 01:34:33,-37
02/09/23 01:35:33,36
02/09/23 01:36:33,-1
02/09/23 01:37:33,-34
02/09/23 01:38:33,-1
02/09/23 01:39:33,22
02/09/23 01:40:33,-60
02/09/23 01:41:33,-6
02/09/23 01:42:33,0
02/09/23 01:43:33,-17
02/09/23 01:44:33,-3
02/09/23 01:45:33,-13
02/09/23 01:46:33,-4
02/09/23 01:47:33,-1
02/09/23 01:48:33,0
02/09/23 01:49:33,0
02/09/23 01:50:33,-28
02/09/23 01:51:33,-1
02/09/23 01:52:33,6
02/09/23 01:53:33,-13
02/09/23 01:54:33,-5
02/09/23 01:55:33,4
02/09/23 01:56:33,10
02/09/23 01:57:33,-2
02/09/23 01:58:33,17
02/09/23 01:59:33,1
02/09/23 02:00:33,0
02/09/23 02:01:33,6
02/09/23 02:02:33,0
02/09/23 02:03:33,0
02/09/23 02:04:33,25
02/09/23 02:05:33,-17
02/09/23 02:06:33,13
02/09/23 02:07:33,27
02/09/23 02:08:33,1
02/09/23 02:09:33,0
02/09/23 02:10:33,17
02/09/23 02:11:33,0
02/09/23 02:12:33,-7
02/09/23 02:13:33,-17
02/09/23 02:14:33,-10
02/09/23 02:15:33,30
02/09/23 02:16:33,7
02/09/23 02:17:33,22
02/09/23 02:18:33,-6
02/09/23 02:19:33,0
02/09/23 02:20:33,-4
02/09/23 02:21:33,15
02/09/23 02:22:33,3
02/09/23 02:23:33,0
02/09/23 02:24:33,0
02/09/23 02:25:33,4
02/09/23 02:26:33,13
02/09/23 02:27:33,1
02/09/23 02:28:33,6
02/09/23 02:29:33,-4
02/09/23 02:30:33,-3
02/09/23 02:31:33,-19
02/09/23 02:32:33,1
02/09/23 02:33:33,47
02/09/23 02:34:33,29
02/09/23 02:35:33,12
02/09/23 02:36:33,7
02/09/23 02:37:33,-9
02/09/23 02:38:33,6
02/09/23 02:39:33,4
02/09/23 02:40:33,-50
02/09/23 02:41:33,38
02/09/23 02:42:33,19
02/09/23 02:43:33,-11
02/09/23 02:44:33,37
