timestamp,Infrared to Red Signal Ratio
10/26/22 00:43:30,-15
10/26/22 00:44:30,-49
10/26/22 00:45:30,0
10/26/22 00:46:30,0
10/26/22 00:47:30,0
10/26/22 00:48:30,1
10/26/22 00:49:30,13
10/26/22 00:50:30,-48
10/26/22 00:51:30,18
10/26/22 00:52:30,0
10/26/22 00:53:30,0
10/26/22 00:54:30,0
10/26/22 00:55:30,0
10/26/22 00:56:30,0
10/26/22 00:57:30,0
10/26/22 00:58:30,0
10/26/22 00:59:30,53
10/26/22 01:00:30,-14
10/26/22 01:01:30,0
10/26/22 01:02:30,0
10/26/22 01:03:30,0
10/26/22 01:04:30,0
10/26/22 01:05:30,0
10/26/22 01:06:30,0
10/26/22 01:07:30,0
10/26/22 01:08:30,0
10/26/22 01:09:30,0
10/26/22 01:10:30,0
10/26/22 01:11:30,39
10/26/22 01:12:30,-23
10/26/22 01:13:30,0
10/26/22 01:14:30,8
10/26/22 01:15:30,14
10/26/22 01:16:30,-23
10/26/22 01:17:30,4
10/26/22 01:18:30,-9
10/26/22 01:19:30,30
10/26/22 01:20:30,0
10/26/22 01:21:30,4
10/26/22 01:22:30,-7
10/26/22 01:23:30,0
10/26/22 01:24:30,-9
10/26/22 01:25:31,0
10/26/22 01:26:31,-11
10/26/22 01:27:31,-9
10/26/22 01:28:31,-3
10/26/22 01:29:31,-4
10/26/22 01:30:31,-4
10/26/22 01:31:31,0
10/26/22 01:32:31,0
10/26/22 01:33:31,27
10/26/22 01:34:31,4
10/26/22 01:35:31,0
10/26/22 01:36:31,-15
10/26/22 01:37:31,0
10/26/22 01:38:31,0
10/26/22 01:39:31,0
10/26/22 01:40:31,-21
10/26/22 01:41:31,0
10/26/22 01:42:31,0
10/26/22 01:43:31,0
10/26/22 01:44:31,0
10/26/22 01:45:31,0
10/26/22 01:46:31,-10
10/26/22 01:47:31,0
10/26/22 01:48:31,0
10/26/22 01:49:31,4
10/26/22 01:50:31,0
10/26/22 01:51:31,0
10/26/22 01:52:31,21
10/26/22 01:53:31,0
10/26/22 01:54:31,0
10/26/22 01:55:31,4
10/26/22 01:56:31,-54
10/26/22 01:57:31,0
10/26/22 01:58:31,8
10/26/22 01:59:31,4
10/26/22 02:00:32,-28
10/26/22 02:01:32,0
10/26/22 02:02:32,-4
10/26/22 02:03:32,10
10/26/22 02:04:32,0
10/26/22 02:05:32,-4
10/26/22 02:06:33,0
10/26/22 02:07:33,-4
10/26/22 02:08:33,6
10/26/22 02:09:33,14
10/26/22 02:10:33,-4
10/26/22 02:11:33,2
10/26/22 02:12:33,13
10/26/22 02:13:33,-17
10/26/22 02:14:33,5
10/26/22 02:15:33,-40
10/26/22 02:16:33,21
10/26/22 02:17:33,15
10/26/22 02:18:33,-21
10/26/22 02:19:33,-26
10/26/22 02:20:33,-49
10/26/22 02:21:33,0
10/26/22 02:22:33,-23
10/26/22 02:23:33,-24
10/26/22 02:24:33,-13
10/26/22 02:25:33,-35
10/26/22 02:26:33,8
10/26/22 02:27:33,42
10/26/22 02:28:33,0
10/26/22 02:29:33,0
10/26/22 02:30:33,-24
10/26/22 02:31:33,0
10/26/22 02:32:33,0
10/26/22 02:33:33,-22
10/26/22 02:34:33,4
10/26/22 02:35:33,22
10/26/22 02:36:33,-5
10/26/22 02:37:33,42
10/26/22 02:38:33,4
10/26/22 02:39:33,-5
10/26/22 02:40:33,-1
10/26/22 02:41:33,0
10/26/22 02:42:33,-12
10/26/22 02:43:33,-7
10/26/22 02:44:33,-3
10/26/22 02:45:33,-13
10/26/22 02:46:33,9
10/26/22 02:47:33,0
10/26/22 02:48:33,-4
10/26/22 02:49:33,4
10/26/22 02:50:33,0
10/26/22 02:51:33,0
10/26/22 02:52:33,0
10/26/22 02:53:33,-22
10/26/22 02:54:33,-14
10/26/22 02:55:33,-5
10/26/22 02:56:33,-12
10/26/22 02:57:33,-3
10/26/22 02:58:33,19
10/26/22 02:59:33,16
10/26/22 03:00:33,0
10/26/22 03:01:33,-27
