timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2023-03-01T09:04:30,16.4,1.9,6.913,16.4,1.9,6.913,16.2,2.0,4.978,-1.0,0.0,1.519
2023-03-02T08:05:30,15.8,2.5,6.546,15.8,2.5,6.546,16.2,2.4,18.17,14.8,2.2,4.505
2023-03-03T08:28:00,16.2,0.6,5.238,16.2,0.6,5.238,16.4,1.6,6.956,11.2,3.0,3.522
2023-03-04T07:34:30,15.6,1.6,9.25,15.6,1.6,9.25,16.0,1.7,8.535,15.6,2.7,6.584
2023-03-05T10:10:00,16.4,0.8,5.73,16.4,0.8,5.73,16.4,1.6,9.032,-1.0,0.0,1.72
2023-03-06T07:58:30,16.2,1.9,12.584,17.0,1.3,3.639,16.2,1.9,12.584,18.0,0.4,3.028
2023-03-07T09:38:30,14.6,0.7,4.027,14.6,0.7,4.027,16.0,2.3,7.009,14.4,1.9,3.355
2023-03-07T16:04:30,16.0,1.6,9.774,14.8,2.2,3.286,16.0,1.6,9.774,-1.0,0.0,2.298
2023-03-08T08:22:00,15.4,1.5,7.617,-1.0,0.0,2.17,15.4,1.5,7.617,-1.0,0.0,1.405
2023-03-09T09:03:30,15.6,0.6,6.223,15.6,0.6,6.223,16.0,1.4,13.793,-1.0,0.0,2.189
2023-03-10T08:37:30,15.8,1.9,6.56,-1.0,0.0,1.327,15.8,1.9,6.56,15.4,1.7,3.78
2023-03-11T08:17:30,17.0,1.2,7.9,17.0,1.2,7.9,15.8,1.4,16.853,15.6,2.6,5.724
2023-03-12T10:21:30,15.6,1.6,5.598,15.6,1.6,5.598,15.4,1.5,9.922,15.4,1.8,7.497
2023-03-13T09:01:00,15.4,1.7,6.763,15.4,1.7,6.763,15.8,2.0,14.72,15.2,2.1,5.192
2023-03-14T10:11:30,15.4,1.5,10.923,16.0,0.9,3.101,15.4,1.5,10.923,-1.0,0.0,2.235
2023-03-15T09:43:30,16.6,1.6,6.751,16.6,1.6,6.751,16.0,1.9,6.47,16.8,3.2,6.993
2023-03-16T09:08:00,14.8,1.0,5.885,14.8,1.0,5.885,16.0,2.2,9.362,10.6,1.1,2.715
