logId,dateOfSleep,startTime,endTime,duration
40607960391,2023-03-17,2023-03-17T00:11:00.000,2023-03-17T10:23:30.000,36720000
40590789734,2023-03-16,2023-03-15T23:32:00.000,2023-03-16T09:08:00.000,34560000
40578397060,2023-03-15,2023-03-15T00:01:00.000,2023-03-15T09:43:30.000,34920000
40566352086,2023-03-14,2023-03-14T00:16:30.000,2023-03-14T10:11:30.000,35700000
40552244103,2023-03-13,2023-03-13T00:00:00.000,2023-03-13T09:01:00.000,32460000
40539993229,2023-03-12,2023-03-12T00:16:00.000,2023-03-12T10:21:30.000,36300000
40525484287,2023-03-11,2023-03-10T23:14:00.000,2023-03-11T08:17:30.000,32580000
40514861564,2023-03-10,2023-03-10T01:08:00.000,2023-03-10T08:37:30.000,26940000
40506771590,2023-03-09,2023-03-09T17:51:00.000,2023-03-09T18:56:30.000,3900000
40503217475,2023-03-09,2023-03-08T22:10:00.000,2023-03-09T09:03:30.000,39180000
40491130547,2023-03-08,2023-03-07T22:45:30.000,2023-03-08T08:22:00.000,34560000
40482904718,2023-03-07,2023-03-07T13:03:30.000,2023-03-07T16:04:30.000,10860000
40477586185,2023-03-07,2023-03-06T23:19:30.000,2023-03-07T09:38:30.000,37140000
40458463100,2023-03-06,2023-03-06T00:15:00.000,2023-03-06T07:58:30.000,27780000
40444754471,2023-03-05,2023-03-05T00:48:00.000,2023-03-05T10:10:00.000,33720000
40430114786,2023-03-04,2023-03-04T00:02:00.000,2023-03-04T07:34:30.000,27120000
40418950960,2023-03-03,2023-03-02T22:58:30.000,2023-03-03T08:28:00.000,34140000
40402788147,2023-03-02,2023-03-01T23:59:00.000,2023-03-02T08:05:30.000,29160000
40390834278,2023-03-01,2023-03-01T00:37:30.000,2023-03-01T09:04:30.000,30420000
40382816555,2023-02-28,2023-02-28T16:51:30.000,2023-02-28T18:55:30.000,7440000
40379641955,2023-02-28,2023-02-28T00:09:00.000,2023-02-28T08:49:30.000,31200000
40365643877,2023-02-27,2023-02-27T00:29:30.000,2023-02-27T08:36:00.000,29160000
40352621035,2023-02-26,2023-02-26T00:15:00.000,2023-02-26T11:24:30.000,40140000
40341516124,2023-02-25,2023-02-25T00:13:30.000,2023-02-25T08:39:30.000,30360000
40328247172,2023-02-24,2023-02-24T00:41:00.000,2023-02-24T08:25:30.000,27840000
40314122500,2023-02-23,2023-02-23T01:04:00.000,2023-02-23T08:17:30.000,25980000
40303380692,2023-02-22,2023-02-21T23:39:30.000,2023-02-22T08:26:00.000,31560000
40289509810,2023-02-21,2023-02-20T23:44:00.000,2023-02-21T08:51:00.000,32820000
40276985325,2023-02-20,2023-02-20T00:04:00.000,2023-02-20T08:37:30.000,30780000
