timestamp,mean_dba,max_dba,min_dba,events_number,snoring_events_number,snore_label,sample_duration
2023-11-01T00:29:00,50,75,30,0,0,0,30
2023-11-01T00:29:30,31,33,30,0,0,0,30
2023-11-01T00:30:00,31,32,30,1,0,0,30
2023-11-01T00:30:30,31,41,30,1,0,0,30
2023-11-01T00:31:00,31,33,30,0,0,0,30
2023-11-01T00:31:30,30,32,30,0,0,0,30
2023-11-01T00:32:00,30,31,30,0,0,0,30
2023-11-01T00:32:30,30,33,30,0,0,0,30
2023-11-01T00:33:00,30,31,30,0,0,0,30
2023-11-01T00:33:30,30,31,30,0,0,0,30
2023-11-01T00:34:00,30,32,30,0,0,0,30
2023-11-01T00:34:30,30,31,30,0,0,0,30
2023-11-01T00:35:00,31,35,30,1,0,0,30
2023-11-01T00:35:30,30,31,30,0,0,0,30
2023-11-01T00:36:00,31,41,30,0,0,0,30
2023-11-01T00:36:30,30,35,30,1,0,0,30
2023-11-01T00:37:00,31,37,30,3,0,0,30
2023-11-01T00:37:30,30,31,30,0,0,0,30
2023-11-01T00:38:00,31,36,29,1,0,0,30
2023-11-01T00:38:30,30,31,30,0,0,0,30
2023-11-01T00:39:00,30,31,30,0,0,0,30
2023-11-01T00:39:30,30,31,30,0,0,0,30
2023-11-01T00:40:00,30,32,30,1,0,0,30
2023-11-01T00:40:30,30,32,30,0,0,0,30
2023-11-01T00:41:00,30,31,30,0,0,0,30
2023-11-01T00:41:30,30,31,30,0,0,0,30
2023-11-01T00:42:00,30,31,30,0,0,0,30
2023-11-01T00:42:30,30,32,30,0,0,0,30
2023-11-01T00:43:00,30,34,30,2,0,0,30
2023-11-01T00:43:30,30,31,30,2,0,0,30
2023-11-01T00:44:00,30,31,30,1,0,0,30
2023-11-01T00:44:30,30,31,30,0,0,0,30
2023-11-01T00:45:00,31,32,30,1,0,0,30
2023-11-01T00:45:30,30,31,30,0,0,0,30
2023-11-01T00:46:00,31,33,30,1,0,0,30
2023-11-01T00:46:30,30,32,30,0,0,0,30
2023-11-01T00:47:00,31,32,30,0,0,0,30
2023-11-01T00:47:30,31,32,30,1,0,0,30
2023-11-01T00:48:00,31,36,30,0,0,0,30
2023-11-01T00:48:30,31,32,30,0,0,0,30
2023-11-01T00:49:00,31,40,30,1,1,0,30
2023-11-01T00:49:30,31,33,30,0,0,0,30
2023-11-01T00:50:00,31,33,30,0,0,0,30
2023-11-01T00:50:30,31,32,30,0,0,0,30
2023-11-01T00:51:00,31,32,30,0,0,0,30
2023-11-01T00:51:30,31,31,30,0,0,0,30
2023-11-01T00:52:00,30,31,30,0,0,0,30
2023-11-01T00:52:30,31,31,30,0,0,0,30
2023-11-01T00:53:00,31,35,30,1,0,0,30
2023-11-01T00:53:30,31,32,30,0,0,0,30
2023-11-01T00:54:00,31,32,30,1,0,0,30
2023-11-01T00:54:30,31,31,30,0,0,0,30
2023-11-01T00:55:00,31,33,30,0,0,0,30
2023-11-01T00:55:30,31,32,30,0,0,0,30
2023-11-01T00:56:00,31,31,30,0,0,0,30
