type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-11-30T23:14,2022-12-01T10:37:30,682,33.308357771261,833.653238656665,1775.611279065488,0.6175951167696091,1.7422018924803968
IDT,2022-12-01T23:58:30,2022-12-02T10:56:30,658,32.04817629179331,-24.882945694887894,1227.5037856935523,0.6175870137081145,1.7394269864344485
IDT,2022-12-02T23:46,2022-12-03T08:26:30,517,32.381237911025146,122.19610416332216,631.8098024616484,0.6199555024207501,1.7337239199231784
IDT,2022-12-04T00:25,2022-12-04T12:43:30,739,29.073071718538564,-2226.5483235083957,9949.207438319456,0.8478440082241057,1.8758569849919497
IDT,2022-12-05T00:54,2022-12-05T10:20:30,567,31.51710758377425,-307.505000000001,1492.6553527775686,0.8351134092768266,1.8657512553020366
IDT,2022-12-06T00:11,2022-12-06T08:44:30,514,31.038326848249028,-524.8544444444451,1777.7130697531393,0.8513421433139974,1.8488496505268768
IDT,2022-12-07T00:15,2022-12-07T10:15:30,594,32.07979797979798,12.090000000000146,1947.243649999844,0.8403160102315071,1.8564349285633188
IDT,2022-12-08T00:37:30,2022-12-08T10:17,579,30.950949913644212,-635.2940729483271,2359.848392268177,0.8548718225225995,1.853274436928013
IDT,2022-12-09T00:09,2022-12-09T10:07,589,32.67996604414261,365.48722222222204,1946.0563151233364,0.8675579574032984,1.8529602025358158
IDT,2022-12-10T00:27,2022-12-10T10:19:30,593,31.012984822934232,-613.8685410334328,3257.421493542148,0.8817483743071364,1.8852286071036135
IDT,2022-12-11T01:44:30,2022-12-11T08:40:30,416,31.47980769230769,-165.81043219076128,2147.4595659213373,0.8722147875290376,1.9067429574067152
IDT,2022-12-12T00:07,2022-12-12T09:49:30,577,32.66637781629116,454.6687034277202,2082.3609183304943,0.8730014265601367,1.9292166942877977
IDT,2022-12-13T00:30,2022-12-13T11:16,646,32.37352941176471,265.01893852572175,1920.3003216367215,0.8638313372206313,1.9255259932817104
IDT,2022-12-13T23:59,2022-12-14T09:30:30,567,31.70740740740741,-67.18057097615747,1796.3487286011223,0.838762605268914,1.9306973075277467
IDT,2022-12-15T00:26,2022-12-15T10:16,590,31.942542372881356,68.82392085373431,2276.3505459013395,0.8249174890165668,1.9535748874425554
IDT,2022-12-16T00:35,2022-12-16T09:35:30,541,31.993345656192236,62.19076005961324,1295.025195262162,0.8113742414749899,1.9435848815154984
IDT,2022-12-17T01:00:30,2022-12-17T11:08,607,32.49522240527183,335.476779661014,1059.7474624246825,0.8098450887829259,1.9207374352309967
IDT,2022-12-18T02:25,2022-12-18T08:52:30,386,32.56683937823834,221.3685767097959,558.1090330427978,0.8220935431792094,1.9116875850131678
IDT,2022-12-18T23:20,2022-12-19T10:26,666,30.847447447447447,-729.33322033898,4337.769769204082,0.8368118675964997,1.9407197929115756
IDT,2022-12-20T00:01:30,2022-12-20T09:50,588,31.397108843537413,-320.714915254237,1300.9137531742454,0.8248810782205629,1.9153857039978306
IDT,2022-12-20T23:42:30,2022-12-21T09:01:30,559,31.75581395348837,-104.381186440678,1730.5495386095718,0.8139124872918124,1.9037686430026841
IDT,2022-12-21T23:23:30,2022-12-22T08:04:30,521,30.554318618042227,-689.8414307004496,3527.592398293433,0.8436896994163756,1.940135048569378
IDT,2022-12-23T00:13:30,2022-12-23T08:10:30,472,32.40169491525424,246.99970193740592,1059.7946880448144,0.8239250962233483,1.9443368805269095
IDT,2022-12-24T00:28,2022-12-24T08:46:30,499,32.17054108216433,113.77135593220373,1827.8366762136575,0.8207834738938355,1.9255132678617257
IDT,2022-12-30T00:22,2022-12-30T08:36:30,482,31.82385892116183,-57.20542372881391,1053.0049595518503,0.8752430546933753,1.9452796303866575
IDT,2022-12-30T23:17:30,2022-12-31T09:01:30,573,31.502792321116928,-183.9711618257279,2461.0025277198292,0.8155251205994062,1.954958949267403
IDT,2023-01-01T01:03:30,2023-01-01T10:34:30,571,31.49281961471103,-150.1697674418574,1835.2943591133226,0.8131611211066926,1.9705139257612656
