type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2022-11-01T00:18:30,2022-11-01T10:29:30,604,32.47185430463576,437.4667945262263,1109.3111859487835,0.7185808363098625,1.8087057025073754
IDT,2022-11-02T00:03,2022-11-02T10:14:30,612,32.055065359477126,175.77142857142826,1229.1372959183063,0.7037170706476932,1.79153255662486
IDT,2022-11-03T01:00:30,2022-11-03T09:05:30,485,31.842061855670103,35.58890515222447,836.7534230308374,0.6882510251758198,1.7763769049740672
IDT,2022-11-03T23:48:30,2022-11-04T09:44,595,32.376806722689075,361.34262295082226,1192.922775060637,0.6824506113806625,1.7612666570709985
IDT,2022-11-06T00:34:30,2022-11-06T09:13:30,517,31.728046421663443,-21.008940281029936,2568.997051396058,0.6691307532907265,1.780282031134759
IDT,2022-11-06T23:17,2022-11-07T09:07,590,32.60203389830509,469.78683454453494,1268.9447964599822,0.6840034983568494,1.7633078994481355
IDT,2022-11-08T00:31,2022-11-08T10:28:30,598,32.23612040133779,257.34055433496906,2102.9625433201436,0.6536152188341505,1.770220855379882
IDT,2022-11-09T00:16:30,2022-11-09T08:56,514,31.474708171206224,-151.52721311475398,2018.341432518093,0.6451743797343821,1.7786990668670497
IDT,2022-11-10T00:30:30,2022-11-10T09:30:30,540,32.059444444444445,117.3865979381444,719.7596358808223,0.6462776967993775,1.759950537764755
IDT,2022-11-11T01:26,2022-11-11T11:04,578,32.54100346020761,299.0245841035139,1103.1166641840246,0.6592532109452545,1.756982585079709
IDT,2022-11-12T00:43:30,2022-11-12T11:12,628,32.64585987261147,371.018954248364,965.8751981076784,0.6622824063015799,1.7110313972787872
IDT,2022-11-14T00:17:30,2022-11-14T08:32:30,495,32.86343434343435,397.97499999999854,898.2760416665114,0.6413686417117007,1.6788392936126317
IDT,2022-11-15T00:13,2022-11-15T10:09,596,32.565771812080534,196.47224080267551,748.3890963187441,0.6149307740148447,1.6261082836156522
IDT,2022-11-16T23:48,2022-11-17T11:26,691,31.014327062228656,-783.2176542177622,3550.810410822509,0.6424084202799135,1.6616405970314976
IDT,2022-11-18T00:07,2022-11-18T10:22,560,31.77339285714286,-209.65815681902677,1995.9073798584286,0.5209110214825805,1.6154787765787106
IDT,2022-11-19T00:37:30,2022-11-19T07:56,438,32.291552511415524,12.139632107024227,1221.1152070037788,0.5114737497596344,1.6294669594442182
IDT,2022-11-19T23:45,2022-11-20T11:38:30,714,30.94719887955182,-857.216649944261,3707.5396007585805,0.5594808702355727,1.6885111037453142
IDT,2022-11-20T23:59,2022-11-21T10:00,596,31.096812080536914,-626.3783240431076,2868.248984615784,0.5548696122463633,1.6977780946176122
IDT,2022-11-22T01:50:30,2022-11-22T09:31:30,461,32.17722342733189,-13.575752508360893,617.9306313582929,0.5459992059002085,1.6784495015580996
IDT,2022-11-23T01:15,2022-11-23T09:13:30,471,32.91295116772824,332.6575283482907,734.1001086344477,0.5541506845033813,1.6587016273198554
IDT,2022-11-24T00:38,2022-11-24T10:48:30,598,31.20484949832776,-546.2636936611234,3756.919319418259,0.5709457864192853,1.709735110994037
IDT,2022-11-24T23:57,2022-11-25T11:08,662,31.47870090634441,-383.0027450980415,3357.7374512881506,0.576614164706012,1.7359707310599093
IDT,2022-11-26T00:48,2022-11-26T09:55:30,548,31.48375912408759,-314.27568627451546,1609.8412353710737,0.5833781275605217,1.722440608786896
IDT,2022-11-27T00:12,2022-11-27T11:23,671,31.87839046199702,-118.54885620914865,1766.8012687163427,0.5725564005525587,1.7182720703389485
IDT,2022-11-28T00:39,2022-11-28T10:09:30,567,32.20299823633157,83.87794117646627,1128.1932081410196,0.5614910400441402,1.7181049917349995
IDT,2022-11-29T23:27,2022-11-30T09:49,622,32.11254019292605,16.512777777777956,1870.040565642994,0.5683564902193005,1.7336681866381165
IDT,2022-11-30T23:14,2022-12-01T10:37:30,682,33.308357771261,833.653238656665,1775.611279065488,0.6175951167696091,1.7422018924803968
